Disease,symptoms
Sheehan syndrome,symptoms sheehan syndrome note being able breastfeed symptoms several years delivery inability breastfeed breast milk comes fatigue lack menstrual bleeding loss pubic armpit axillary hair low blood pressure
Growth hormone deficiency - children,slow growth noticed infancy continue childhood your child's draw your child's growth curve growth chart growth hormone deficiency slow flat rate growth slow growth up 2 3 years shorter age sex normal proportions chubby child's face younger age normal intelligence cases older puberty come late come depending
Male pattern baldness,typical pattern male baldness begins hairline front head hairline gradually moves backward recedes forms m shape circular back head vertex thins expands size eventually hair finer shorter thinner creates u-shaped horseshoe pattern hair sides head bald back head
Simple goiter,main symptom enlarged thyroid gland size range single small nodule large mass front neck simple goiter symptoms underactive thyroid gland rare cases enlarged thyroid put pressure windpipe trachea food tube esophagus breathing difficulties large goiters especially when lying flat back when reaching up your arms cough hoarseness swallowing difficulties especially solid food pain thyroid
High potassium level,there no symptoms high level potassium when symptoms they chest pain difficulty breathing nausea vomiting palpitations irregular abnormal-feeling heartbeats slow weak irregular pulse sudden collapse when heartbeat too slow stops
Acidosis,metabolic acidosis symptoms depend underlying disease condition metabolic acidosis itself rapid deep breathing your tries compensate confusion lethargy severe metabolic acidosis shock death situations metabolic acidosis mild ongoing chronic condition respiratory acidosis symptoms confusion fatigue lethargy shortness breath sleepiness
Adrenoleukodystrophy,childhood cerebral symptoms adrenomyelopathy symptoms adrenal gland failure addison symptoms changes muscle tone especially muscle spasms uncontrolled movements crossed eyes handwriting worse difficulty school difficulty understanding what saying hearing loss hyperactivity worsening nervous system damage coma decreased fine motor control paralysis seizures swallowing difficulties visual impairment blindness difficulty controlling urination possible worsening muscle weakness leg stiffness problems thinking speed visual memory coma decreased appetite increased skin color loss weight muscle mass wasting muscle weakness vomiting
Alkalosis,symptoms alkalosis confusion progress stupor coma hand tremor lightheadedness muscle twitching nausea vomiting numbness tingling face hands feet prolonged muscle spasms tetany
Beckwith-Wiedemann syndrome,signs symptoms beckwith-wiedemann syndrome large size newborn red birth mark forehead eyelids nevus flammeus creases ear lobes large tongue macroglossia low blood sugar hypoglycemia abdominal wall defect umbilical hernia omphalocele enlargement organs overgrowth hemihyperplasia hemihypertrophy tumor growth wilms tumors hepatoblastomas
Parathyroid adenoma,no symptoms condition discovered when blood tests done another medical reason parathyroid adenomas common hyperparathyroidism overactive parathyroid glands increased blood calcium level symptoms confusion constipation lack energy lethargy muscle pain nausea decreased appetite urinating night weak bones fractures
Parathyroid hyperplasia,symptoms bone fractures bone pain constipation lack energy muscle pain nausea
Muscular dystrophy,md affect severe forms tend early childhood symptoms vary types md muscles affected only specific groups muscles affected those pelvis shoulder face muscle weakness slowly worse symptoms intellectual disability types md several types md affect only males â delayed development muscle motor skills difficulty muscle groups drooling eyelid drooping ptosis frequent falls loss strength muscle group muscles loss muscle size problems walking delayed walking muscle contractures
Neonatal hypothyroidism,affected infants few no symptoms because their thyroid hormone level only slightly low infants severe hypothyroidism unique appearance appearance disease worse dull puffy face thick tongue sticks out poor feeding choking episodes constipation dry brittle hair hoarse cry jaundice skin whites eyes yellow lack muscle tone floppy infant low hairline short height sleepiness sluggishness
Hypogonadism,who hypogonadism begin menstruating hypogonadism affect their breast development height hypogonadism puberty symptoms hypogonadism affects muscle beard genital voice development growth problems symptoms pituitary brain tumor central hypogonadism there common tumors affecting pituitary craniopharyngioma prolactinoma adenomas hot flashes energy mood changes menstruation irregular stops breast enlargement muscle loss decreased interest sex low libido headaches vision loss milky breast discharge prolactinoma tumor produces hormone prolactin symptoms hormonal deficiencies hypothyroidism
Transient familial hyperbilirubinemia,newborn untreated seizures neurologic problems kernicterus yellow skin jaundice yellow eyes icterus lethargy
Pyruvate kinase deficiency,symptoms pkd low count healthy red blood cells anemia swelling spleen splenomegaly yellow color skin mucous membranes white eyes jaundice neurologic condition called kernicterus affects brain fatigue lethargy pale skin pallor infants gaining weight growing expected failure thrive gallstones teens older
Krabbe disease,symptoms early-onset krabbe disease late onset krabbe disease vision problems followed walking difficulties rigid muscles symptoms vary symptoms changing muscle tone floppy rigid hearing loss deafness failure thrive feeding difficulties irritability sensitivity loud sounds severe seizures begin early age unexplained fevers vision loss blindness vomiting
Homocystinuria,newborn infants healthy early symptoms obvious symptoms mildly delayed development failure thrive increasing visual problems diagnosis condition symptoms chest deformities pectus carinatum pectus excavatum flush cheeks high arches feet intellectual disability knock knees long limbs mental disorders nearsightedness spidery fingers arachnodactyly tall thin build
Alkaptonuria,urine infant's diaper darken turn almost black several hours condition know they disease discoveredâ mid-adulthood age 40 when joint problems symptoms arthritis especially spine worse darkening ear dark spots white eye cornea
Hartnup disorder,no symptoms symptoms they childhood diarrhea mood changes nervous system neurologic problems abnormal muscle tone uncoordinated movements red scaly skin rash when skin exposed sunlight sensitivity light photosensitivity short stature
Hypothalamic dysfunction,symptoms hormones brain signals missing there growth problems too too little growth puberty too early too late tumor symptoms headache loss vision thyroid affected there symptoms underactive thyroid hypothyroidism symptoms cold constipation fatigue weight gain others adrenal glands affected there symptoms low adrenal function symptoms fatigue weakness poor appetite weight loss lack interest activities
Mucopolysaccharidosis type II,early-onset severe symptoms late mild there mild no mental deficiency forms symptoms aggressive behavior hyperactivity mental function worse severe intellectual disability jerky movements carpal tunnel syndrome coarse features face deafness worse increased hair growth joint stiffness large head
Mucopolysaccharidosis type I,symptoms mps i ages 3 8 years severe mps i symptoms earlier those severe symptoms abnormal bones spine inability fully open fingers claw hand cloudy corneas deafness halted growth heart valve problems joint disease stiffness intellectual disability worse severe mps i thick coarse facial features low nasal bridge
Metachromatic leukodystrophy,symptoms mld abnormally high decreased muscle tone abnormal muscle movements problems walking frequent falls behavior problems personality changes irritability decreased mental function difficulty swallowing inability perform normal tasks incontinence poor school performance seizures speech difficulties slurring
Mucopolysaccharidosis type IV,symptoms start ages 1 3 years they abnormal development bones spine bell-shaped chest ribs flared out bottom cloudy cornea coarse facial features enlarged liver heart murmur hernia groin hypermobile joints knock-knees large head loss nerve function below neck short stature particularly short trunk widely spaced teeth
Niemann-Pick disease,symptoms vary conditions similar symptoms early stages disease only few symptoms symptoms begins few months life symptoms b symptoms milder they late childhood teenage years abdominal swelling young there almost no brain nervous system involvement loss motor skills repeated respiratory infections types c c1 affects school-age early infancy adulthood symptoms abdominal belly swelling 3 6 months cherry red spot back eye retina feeding difficulties loss early motor skills worse difficulty moving limbs unsteady gait clumsiness walking problems enlarged spleen enlarged liver jaundice shortly birth learning difficulties intellectual decline seizures slurred irregular speech sudden loss muscle tone falls tremors trouble moving eyes up down
Porphyria,porphyria major symptoms attacks suddenly they start severe abdominal pain followed vomiting constipation being out sun pain sensations heat blistering skin redness swelling blisters heal slowly scarring skin color changes scarring disfiguring urine turn red brown attack symptoms attacks life threatening producing abdominal pain cramping only forms disease sensitivity light rashes blistering scarring skin photodermatitis problems nervous system muscles seizures mental disturbances nerve damage muscle pain muscle weakness paralysis numbness tingling pain arms legs pain back personality changes psychosis low blood pressure severe electrolyte imbalances shock
Russell-Silver syndrome,symptoms birthmarks color coffee milk cafe-au-lait marks large head size wide projecting forehead small triangle-shaped face small narrow chin curving pinky ring finger failure thrive delayed bone age low birth weight short height short arms stubby fingers toes smaller asymmetry stomach intestine problems acid reflux constipation
Mucopolysaccharidosis type III,symptoms life decline learning ability typically ages 2 6 normal growth few years final height below average delayed development followed worsening mental status symptoms behavioral problems hyperactivity coarse facial features heavy eyebrows meet middle face above nose chronic diarrhea enlarged liver spleen sleep difficulties stiff joints extend fully vision problems hearing loss walking problems
Hypothalamic tumor,these tumors range symptoms these symptoms whose tumors affect front hypothalamus tumors vision loss tumors block flow spinal fluid headaches sleepiness fluid collecting brain hydrocephalus seizures brain tumors precocious puberty change pituitary gland function euphoric high sensations failure thrive lack normal growth headache hyperactivity loss fat appetite cachexia
Diabetes and eye disease,diabetic retinopathy no symptoms damage your eyes severe because damage retina your vision affected symptoms diabetic retinopathy early diabetic retinopathy no symptoms bleeding eye why diabetes regular eye exams blurred vision slow vision loss floaters shadows missing areas vision trouble night
Thyroid cancer,symptoms vary depending thyroid cancer cough difficulty swallowing enlargement thyroid gland hoarseness changing voice neck swelling thyroid lump nodule
Diabetes,high blood sugar level several symptoms because 2 diabetes slowly high blood sugar no symptoms symptoms 1 diabetes typically short period weeks months sick they diagnosed years diabetes serious problems these problems known diabetes complications blurry vision excess thirst fatigue frequent urination hunger weight loss eye problems trouble especially night light sensitivity cataracts blindness sores infections leg foot untreated amputation leg foot damage nerves causing pain tingling loss problems digesting food erectile dysfunction kidney problems kidney failure weakened immune system frequent infections increased chance having heart attack stroke
Hyperparathyroidism,hyperparathyroidism diagnosed common blood tests symptoms symptoms mostly damage organs high calcium level blood loss calcium bones symptoms bone pain tenderness depression forgetfulness tired ill weak fragile bones limbs spine break easily increased amount urine produced needing urinate kidney stones nausea loss appetite
Macroamylasemia,macroamylasemia symptoms
McCune-Albright syndrome,main symptom mccune-albright syndrome early puberty menstrual periods begin early childhood long breasts pubic hair normally average age symptoms 3 years puberty menstrual bleeding early 4 6 months early sexual development symptoms bone fractures deformities bones face gigantism irregular large patchy cafã au lait spots
Absent menstrual periods - primary,female amenorrhea no menstrual flow she haveâ signs puberty
Absent menstrual periods - secondary,addition having no menstrual periods symptoms amenorrhea pituitary tumor there symptoms related tumor vision loss headache breast size changes weight gain weight loss discharge breast change breast size acne increased hair growth male pattern vaginal dryness voice changes
Muscle disorder,main symptom weakness symptoms cramps stiffness
Volkmann contracture,symptoms volkmann contracture affect forearm wrist hand symptoms decreased sensation paleness skin muscle weakness loss atrophy deformity wrist hand fingers hand claw-like appearance
Baker cyst,cases no symptoms large cyst discomfort stiffness there painless painful swelling behind knee cyst water-filled balloon cyst break open rupture causing pain swelling bruising back knee calf important know pain swelling baker cyst blood clot blood clot deep venous thrombosis â pain swelling bruising back knee calf blood clot dangerous requires medical attention right
Compartment syndrome,symptoms compartment syndrome easy detect acute injury symptoms severe few hours symptoms pain higher expected injury severe pain doesn't go taking pain medicine raising affected decreased sensation numbness tingling weakness affected paleness skin swelling inability move affected
Neurodegeneration with brain iron accumulation (NBIA),nbia mainly movement problems symptoms dementia difficulty speaking difficulty swallowing muscle problems rigidity involuntary muscle contractions dystonia seizures tremor vision loss retinitis pigmentosa weakness writhing movements toe walking
TMJ disorders,symptoms associated tmj disorders biting chewing difficulty discomfort clicking popping grating sound when opening closing mouth dull aching pain face earache headache jaw pain tenderness jaw locking jaw difficulty opening closing mouth
Clubfoot,physical appearance foot vary feet affected foot turns inward downward birth difficult correct position calf muscle foot slightly smaller normal
Tendinitis,symptoms tendinitis vary activity main symptoms pain tenderness tendon joint pain night pain worse movement activity stiffness morning
Bone tumor,symptoms bone tumor benign tumors no symptoms bone fracture especially slight injury trauma bone pain worse night occasionally mass swelling tumor site
Bunions,symptoms you problems shoes fit shoes pain red thickened skin edge base big toe bony bump toe joint decreased movement toe pain joint pressure shoes worse big toe turned outward toes cross toe corns calluses where toes overlap difficulty wearing regular shoes
Corns and calluses,symptoms skin thick hardened skin flaky dry hardened thick skin areas hands feet areas rubbed pressed affected areas painful bleed
Dupuytren contracture,hands affected ring finger affected followed little middle index fingers small nodule lump tissue below skin palm hand thickens into cord-like band there no pain rare cases tendons joints inflamed painful possible symptoms itching pressure burning tension condition mostly painless progressive passes difficult extend straighten fingers severe cases straightening them impossible
Fibrous dysplasia,symptoms bone lesions stop when reaches puberty bone pain bone sores lesions hormone endocrine gland problems fractures bone deformities unusual skin color pigmentation mccune-albright syndrome
Hammer toe,middle joint toe bent end toe bends down into claw-like deformity you able move straighten toe you no longer able move toe painful corn forms top toe callus sole foot walking wearing shoes painful
Illness anxiety disorder,iad can't control their fears worries they believe symptom sensation sign serious illness they seek out reassurance family friends providers regular basis they better short then begin worry symptoms symptoms symptoms shift change vague iad examine their own realize their fear unreasonable unfounded iad somatic symptom disorder somatic symptom disorder physical pain symptoms medical isn't
Ingrown toenail,there pain redness swelling nail
Intraductal papilloma,symptoms these findings breast breasts these papillomas pain breast lump nipple discharge clear bloodstained
Chronic granulomatous disease,cgd types skin infections hard treat cgd blisters sores face impetigo eczema growths filled pus abscesses pus-filled lumps skin boils persistent diarrhea swollen lymph nodes neck lung infections pneumonia lung abscess
Kyphosis,pain middle lower back common symptom symptoms round back appearance tenderness stiffness spine fatigue difficulty breathing severe cases
Scoliosis,there no symptoms there symptoms they backache low-back pain goes down legs weakness tired spine sitting standing long uneven hips shoulders shoulder higher shoulder pain spine curves difficulty breathing sitting
Tenosynovitis,symptoms fever swelling redness indicate infection especially puncture cut these symptoms difficulty moving joint joint swelling affected pain tenderness joint pain when moving joint redness length tendon
Arthritis,arthritis joint pain swelling stiffness limited movement symptoms joint pain joint swelling joint deformity reduced ability move joint redness warmth skin joint joint stiffness especially morning
Myalgic encephalomyelitis/chronic fatigue syndrome (ME/CFS),there main core symptoms me cfs me cfs persistent profound fatigue unable activities they able illness extreme fatigue me cfs symptoms worse physical mental activity called post-exertional malaise pem known crash relapse collapse sleep issues problems falling staying asleep full-night's rest relieve fatigue symptoms me cfs least symptoms common symptoms profound fatigue worsening symptoms physical mental activity sleep problems lasts least 6 months unusual intense activity relieved sleep bed rest severe enough keep you participating certain activities you crash shopping grocery store need nap driving home you need come pick you up there no predict what crash know how long recover days weeks longer recover forgetfulness concentration problems problems details called brain fog worsening symptoms when standing sitting upright called orthostatic intolerance you dizzy lightheaded faint when standing sitting up you vision changes spots joint pain swelling redness muscle aches muscle weakness headaches differ those you sore throat sore lymph nodes neck arms chills night sweats digestive problems irritable bowel syndrome allergies sensitivity noise food odors chemicals
Achondrogenesis,symptoms short trunk arms legs neck head large relation trunk small lower jaw narrow chest
Acrodysostosis,symptoms disorder frequent middle ear infections growth problems short arms legs hearing problems intellectual disability doesn't respond certain hormones hormone levels normal distinct facial features
Rubinstein-Taybi syndrome,symptoms signs symptoms broadening thumbs big toes constipation excess hair hirsutism heart defects possibly requiring surgery intellectual disability seizures short stature noticeable birth slow development cognitive skills slow development motor skills accompanied low muscle tone absent extra kidney problems kidney bladder underdeveloped bone midface unsteady stiff walking gait downward-slanted eyes low-set ears malformed ears drooping eyelid ptosis cataracts coloboma defect iris eye microcephaly excessively small head narrow small recessed mouth crowded teeth prominent beaked nose thick arched eyebrows long eyelashes undescended testicle cryptorchidism testicular problems
Takayasu arteritis,symptoms there signs inflammation pericarditis pleuritis arm weakness pain chest pain dizziness fatigue fever lightheadedness muscle joint pain skin rash night sweats vision changes weight loss decreased radial pulses wrist difference blood pressure arms high blood pressure hypertension
Osteitis fibrosa,osteitis fibrosa bone pain tenderness there fractures breaks arms legs spine bone problems hyperparathyroidism itself nausea constipation fatigue frequent urination weakness
Perichondritis,painful swollen red ear common symptom infection skin infection quickly worsens involves perichondrium redness surrounds injury cut scrape there fever severe cases fluid drain wound
Retroperitoneal inflammation,symptoms abdominal pain anorexia flank pain low back pain malaise
Uvulitis,symptoms fever your throat choking gagging coughing pain swallowing excessive saliva decreased no appetite
Osgood-Schlatter disease,main symptom painful swelling bump lower leg bone shinbone symptoms legs you leg pain knee pain worse running jumping climbing stairs tender pressure swelling ranges mild severe
Spondylolisthesis,symptoms spondylolisthesis vary mild severe spondylolisthesis no symptoms symptoms they're 18 years condition increased abnormal lordosis called swayback later stages kyphosis roundback upper spine falls off lower spine symptoms lower back pain muscle tightness tight hamstring muscle pain numbness tinglingâ thighs buttocks stiffness tenderness vertebra out weakness legs
High arch,symptoms shortened foot length difficulty fitting shoes foot pain walking standing running symptom
Flat feet,flat feet pain problems don't foot pain ankle pain lower leg pain they evaluated symptoms tired achy feet long periods standing playing sports you pain ankle patients flat foot long you changes appearance flexibility your toes you pain deformed toes
Legg-Calve-Perthes disease,symptom limping painless there mild pain comes goes symptoms hip stiffness limits hip movement knee pain limited range motion thigh groin pain go shortening leg legs unequal length muscle loss upper thigh
Ureteropelvic junction obstruction,there symptoms when symptoms they back flank pain especially when consuming diuretics alcohol caffeine bloody urine hematuria lump abdomen abdominal mass kidney infection poor growth infants failure thrive urinary tract infection fever vomiting
Potter syndrome,symptoms widely separated eyes epicanthal folds broad nasal bridge low set ears receding chin absence urine output difficulty breathing
Prune belly syndrome,weak abdominal muscles urinary tract problems difficulty urinating constipation delay sitting walking difficulties coughing
Urge incontinence,symptoms being able control when you pass urine having urinate night needing urinate suddenly urgently
Urethral stricture,symptoms blood semen discharge urethra bloody dark urine strong urge urinate frequent urination inability empty bladder urinary retention painful urination difficulty urinating loss bladder control increased frequency urgency urinate pain lower abdomen pelvic slow urine stream suddenly gradually spraying urine swelling penis
Acute arterial occlusion - kidney,you symptoms when kidney function because kidney filter blood high blood pressure hypertension come suddenly difficult control your kidney working fully blockage renal artery symptoms acute kidney failure symptoms acute arterial occlusion renal artery note there no pain pain suddenly abdominal pain abrupt decrease urine output back pain blood urine flank pain pain symptoms high blood pressure headache change vision swelling
Perirenal abscess,symptoms perirenal abscess chills fever pain flank abdomen abdomen extend groin down leg sweating
Bladder stones,symptoms when stone irritates lining bladder stones block flow urine bladder symptoms loss urine control bladder stones abdominal pain pressure abnormally colored dark-colored urine blood urine difficulty urinating frequent urge urinate inability urinate certain positions interruption urine stream pain discomfort penis signs uti fever pain when urinating need urinate
Penile cancer,early symptoms cancer advances symptoms sore bump rash swelling tip shaft penis foul-smelling discharge beneath foreskin pain bleeding penis advanced disease lumps groin spread cancer groin lymph nodes weight loss difficulty passing urine
Curvature of the penis,you your notice abnormal hardening tissue below skin shaft penis hard lump bump erection there bend penis begins where you scar tissue hardening softening portion penis scar tissue narrowing penis pain problems penetration pain intercourse shortening penis
Epididymitis,epididymitis begin testicle sensitive pressure painful condition progresses infection epididymis easily spread testicle symptoms common symptoms symptoms epididymitis similar those testicular torsion requires emergent treatment low fever chills heaviness testicle blood semen discharge urethra opening end penis discomfort lower abdomen pelvis lump testicle pain ejaculation pain burning urination painful scrotal swelling epididymis enlarged tender swollen painful groin affected testicle pain worse bowel movement
Orchitis,symptoms pain testicle blood semen discharge penis fever groin pain pain intercourse ejaculation pain urination dysuria scrotal swelling tender swollen groin affected tender swollen heavy testicle
Paraphimosis,foreskin pulled back retracted behind rounded tip penis glans stays there retracted foreskin glans swollen difficult return foreskin its extended position symptoms inability pull retracted foreskin forward head penis painful swelling end penis pain penis
Retrograde ejaculation,symptoms cloudy urine orgasm little no semen released ejaculation
Scrotal masses,symptoms enlarged scrotum painless painful testicle lump
Varicocele,symptoms symptoms enlarged twisted veins scrotum dull ache discomfort painless testicle lump scrotal swelling bulge scrotum possible problems fertility decreased sperm count
Epispadias,males short wide penis abnormal curve urethra opens top penis tip urethra open whole length penis females abnormal clitoris labia urethral opening clitoris labia belly they trouble controlling urination urinary incontinence
Hypospadias,symptoms depend how severe problem condition opening urethra tip penis underside severe forms hypospadias when opening middle base penis rarely opening located behind scrotum condition penis curve down erection erections common infant symptoms hypospadias testicles moved down into scrotum undescended testicle problems peeing spraying down difficult urinate standing foreskin penis hood
Testicular cancer,there no symptoms cancer painless lump testes there symptoms they symptoms parts lungs abdomen pelvis back brain cancer spread testicles discomfort pain testicle heaviness scrotum pain back lower abdomen enlarged testicle change excess amount breast tissue gynecomastia normally adolescent who testicular cancer lump swelling testicle
Cancer,symptoms cancer depend location cancer lung cancer coughing shortness breath chest pain colon cancer diarrhea constipation blood stool cancers symptoms certain cancers pancreatic cancer symptoms start disease reached advanced stage symptoms cancer chills fatigue fever loss appetite malaise night sweats pain weight loss
Nasal septal hematoma,symptoms blockage breathing nasal congestion painful swelling nasal septum change shape nose fever
Agranulocytosis,symptoms condition fever chills malaise general weakness sore throat mouth throat ulcers bone pain pneumonia shock
Hemolytic disease of the newborn,hdn destroy newborn baby's blood cells quickly symptoms edema swelling surface skin newborn jaundice sooner severe normal
Erythroplasia of Queyrat,main symptoms rash irritation tip shaft penis persists red respond topical creams
Lymphadenitis,symptoms lymph nodes rubbery abscess pocket pus formed they inflamed red tender skin lymph node swollen tender hard lymph nodes fever
Ewing sarcoma,there few symptoms common pain swelling site tumor because tumor weakens bone break bone site tumor minor injury fever
Hemolytic transfusion reaction,symptoms symptoms hemolytic transfusion reaction right transfusion they several days delayed transfusion reaction back pain bloody urine chills fainting dizziness fever flank pain flushing skin
Bleeding disorders,symptoms problems depend specific bleeding disorder how severe bleeding into joints muscles bruising easily heavy bleeding heavy menstrual bleeding nosebleeds stop easily excessive bleeding surgical procedures umbilical cord bleeding birth
Glanzmann thrombasthenia,symptoms heavy bleeding surgery bleeding gums bruising easily pinpoint red spots skin heavy menstrual bleeding nosebleeds stop easily prolonged bleeding minor injuries
ABO incompatibility,symptoms abo incompatible transfusion reactions low back pain blood urine chills impending doom fever nausea vomiting shortness breath increased heart rate pain infusion site chest pain dizziness bronchospasm spasm muscles lining lung cough yellow skin whites eyes jaundice acute kidney failure low blood pressure disseminated intravascular coagulation dic
Agammaglobulinemia,symptoms frequent episodes infections typically 4 years life symptoms bronchitis airway infection conjunctivitis eye infection diarrhea otitis media middle ear infection pneumonia lung infection sinusitis sinus infection skin infections upper respiratory tract infections bronchiectasis disease bronchial tubes lungs damaged enlarged asthma known
Burkitt lymphoma,bl noticed swelling lymph nodes glands head neck these swollen lymph nodes painless grow rapidly types commonly united states cancer starts belly abdomen disease start ovaries testes brain kidneys liver spinal fluid general symptoms fever night sweats unexplained weight loss
Graft-versus-host disease,there types gvhd acute chronic symptoms acute chronic gvhd range mild severe acute gvhd happens days late 6 months transplant immune system skin liver intestines mainly affected common acute symptoms chronic gvhd starts 3 months transplant last lifetime chronic symptoms abdominal pain cramps nausea vomiting diarrhea jaundice yellow coloring skin eyes liver problems skin rash itching redness areas skin increased risk infections dry eyes burning sensation vision changes dry mouth white patches mouth sensitivity spicy foods fatigue muscle weakness chronic pain joint pain stiffness skin rash raised discolored areas well skin tightening thickening shortness breath lung damage vaginal dryness weight loss reduced bile flow liver brittle hair premature graying damage sweat glands cytopenia decrease number mature blood cells pericarditis inflammation membrane surrounding heart chest pain
Tumor,symptoms depend location tumor lung tumors coughing shortness breath chest pain tumors colon weight loss diarrhea constipation iron deficiency anemia blood stool tumors symptoms others esophageal pancreatic cancer symptoms disease reached advanced stage symptoms tumors fever chills fatigue loss appetite night sweats weight loss pain
Hyperimmunoglobulin E syndrome,symptoms bone tooth defects fractures losing baby teeth late eczema skin abscesses infection repeated sinus infections repeated lung infections
Chediak-Higashi syndrome,condition infection affected certain viruses epstein-barr virus ebv life-threatening illness resembling blood cancer lymphoma called hemophagocytic lymphohistiocytosis symptoms silver hair light-colored eyes albinism increased infections lungs skin mucous membranes jerky eye movements nystagmus decreased vision intellectual disability muscle weakness nerve problems limbs peripheral neuropathy nosebleeds easy bruising numbness tremor seizures sensitivity bright light photophobia unsteady walking ataxia
Congenital fibrinogen deficiency,complete lack fibrinogen bleeding symptoms reduced level fibrinogen bleed bleeding severe when compared no fibrinogen those problem function fibrinogen don't symptoms bruising easily bleeding umbilical cord birth bleeding mucous membranes bleeding brain rare bleeding joints heavy bleeding injury surgery nosebleeds stop easily
Hypersplenism,symptoms enlarged spleen low level types blood cells full too soon eating stomach pain left
Malignant hyperthermia,symptoms mh bleeding dark brown urine muscle protein called myoglobin urine muscle ache obvious exercise injury muscle rigidity stiffness rise temperature 105â f 40 6â c higher
Malignant teratoma of the mediastinum,symptoms chest pain pressure cough fatigue limited ability tolerate exercise shortness breath
Mosaicism,symptoms vary difficult predict symptoms severe you normal abnormal cells
Lyme disease,symptoms early localized lyme disease stage 1 begin days weeks infection they similar flu there bull's eye rash flat slightly raised red spot site tick bite there clear center large expanding size rash called erythema migrans treatment last 4 weeks longer symptoms come go untreated bacteria spread brain heart joints symptoms early disseminated lyme disease stage 2 weeks months tick bite symptoms late disseminated lyme disease stage 3 months years infection common symptoms muscle joint pain symptoms fever chills general ill headache joint pain muscle pain stiff neck numbness pain nerve paralysis weakness muscles face heart problems conduction abnormalities e g skipped heartbeats orâ palpitations chest pain shortness breath abnormal muscle movement joint swelling muscle weakness numbness tingling speech problems thinking cognitive problems
Schistosomiasis,symptoms vary species worm phase infection parasites fever chills swollen lymph nodes swollenâ liver spleen when worm into skin itâ itching rash swimmer's itch condition schistosome destroyed skin intestinal symptoms abdominal pain diarrhea bloody urinary symptoms frequent urination painful urination blood urine
Valley fever,valley fever symptoms others cold flu-like symptoms symptoms pneumonia symptoms they typically start 5 21 days exposure fungus common symptoms rarely infection spreads lungs bloodstream involve skin bones joints lymph nodes central nervous system organs spread called disseminated coccidioidomycosis widespread sick symptoms skin lesions valley fever sign widespread disseminated disease widespread infection skin sores lesions face ankle feet leg swelling chest pain vary mild severe cough possibly producing blood-tinged phlegm sputum fever night sweats headache joint stiffness pain muscle aches loss appetite painful red lumps lower legs erythema nodosum change mental status enlarged draining lymph nodes joint swelling severe lung symptoms neck stiffness sensitivity light weight loss
Anthrax,symptoms anthrax differ depending anthrax symptoms cutaneous anthrax start 1 7 days exposure symptoms inhalation anthrax symptoms gastrointestinal anthrax 1 symptoms injection anthrax similar those cutaneous anthrax addition skin muscle beneath injection site infected itchy sore similar insect bite sore blister black ulcer sore eschar sore painless surrounded swelling scab forms then dries falls off 2 weeks complete healing longer begins fever malaise headache cough shortness breath chest pain fever shock later abdominal pain bloody diarrhea diarrhea fever mouth sores nausea vomiting vomit contain blood
Aspergillosis,symptoms depend infection symptoms allergic bronchopulmonary aspergillosis symptoms depend affected cough coughing up blood brownish mucus plugs fever general ill malaise wheezing weight loss bone pain chest pain chills decreased urine output headaches increased phlegm production bloody shortness breath skin sores lesions vision problems
Cryptococcosis,infection spread brain who weakened immune system neurological brain symptoms start slowly swelling irritation brain spinal cord when they diagnosed symptoms brain infection infection affect lungs organs lung symptoms symptoms healthy immune system no symptoms fever headache neck stiffness nausea vomiting blurred vision double vision confusion difficulty breathing cough chest pain bone pain tenderness breastbone fatigue skin rash pinpoint red spots petechiae ulcers skin lesions sweating unusual excessive night swollen glands unintentional weight loss
Fleas,bites legs places where clothes fit waist buttocks thighs lower abdomen symptoms flea bites small red bumps bumps together itchy blisters allergy flea bites
Fungal nail infection,symptoms nail changes nails toenails brittleness change nail shape crumbling edges nail debris trapped nail loosening lifting nail loss luster shine nail surface thickening nail white yellow streaks nail
Trichomoniasis,these symptoms who symptoms occasionally trichomoniasis discomfort intercourse itching inner thighs vaginal discharge thin greenish-yellow frothy foamy vaginalâ vulvar itching swelling labia vaginal odor foul strong smell burning urination ejaculation itching urethra slight discharge urethra swelling irritation prostate gland prostatitis swelling epididymis epididymitis tube connects testicle vas deferens vas deferens connects testicles urethra
Typhoid fever,early symptoms fever general ill-feeling abdominal pain high fever 103â f 39 5â c higher severe diarrhea disease worse rash called rose spots small red spots abdomen chest symptoms bloody stools chills agitation confusion delirium hearing there hallucinations difficulty paying attention attention deficit nosebleeds severe fatigue slow sluggish weak
Chiggers,main symptoms chigger bites itching several hours chiggers attach skin bite painless skin rash parts exposed sun stop where underwear meets legs clue rash chigger bites severe itching red pimple-like bumps hives
Rabies,infection when you sick ranges 10 days 7 years period called incubation period average incubation period 3 12 weeks fear water hydrophobia common symptom symptoms drooling headache seizures bite site sensitive mood changes nausea vomiting loss loss muscle function fever 102â f 38 8â c lower muscle spasms numbness tingling pain site bite restlessness swallowing difficulty drinking spasms voice box hallucinations
Peritonitis,your belly painful tender pain worse when your belly touched when you move your belly bloated called abdominal distention symptoms fever chills passing little no stools gas excessive fatigue passing urine nausea vomiting racing heartbeat shortness breath
Sporotrichosis,symptoms small painless red lump site infection passes lump turn into ulcer sore lump up 3 months injury sores hands forearms because these areas commonly injured when handling plants fungus follows channels your body's lymph system small ulcers lines skin infection moves up arm leg these sores heal they treated they last years sores drain small amounts pus body-wide systemic sporotrichosis lung breathing problems bone infection arthritis infection nervous system
