Disease Name,Symptoms
Acute nephritic syndrome,"Common symptoms of nephritic syndrome are:; Other symptoms that may occur include:; Symptoms of acute kidney failure or long-term (chronic) kidney disease may develop.; Blood in the urine (urine appears dark, tea-colored, or cloudy); Decreased urine output (little or no urine may be produced); Swelling of the face, eye socket, legs, arms, hands, feet, abdomen, or other areas; High blood pressure; Blurred vision, usually from burst blood vessels in the retina of the eye; Cough containing mucus or pink, frothy material from fluid buildup in the lungs; Shortness of breath, from fluid buildup in the lungs; General ill feeling (malaise), drowsiness, confusion, aches and pains, headache"
Minimal change disease,"There may be symptoms of nephrotic syndrome, including:; Minimal change disease does not reduce the amount of urine produced. It rarely progresses to kidney failure.; Foamy appearance of the urine; Poor appetite; Swelling (especially around the eyes, feet and ankles, and in the abdomen); Weight gain (from fluid retention)"
Proximal renal tubular acidosis,"Symptoms of proximal renal tubular acidosis include any of the following:; Other symptoms can include:; Confusion or decreased alertness; Dehydration; Fatigue; Increased breathing rate; Osteomalacia (softening of the bones); Muscle pain; Weakness; Decreased urine output; Increased heart rate or irregular heartbeat; Muscle cramps; Pain in the bones, back, flank, or abdomen; Skeletal deformities"
End-stage kidney disease,"Common symptoms may include:; Other symptoms may include:; General ill feeling and fatigue; Itching (pruritus) and dry skin; Headache; Weight loss without trying; Loss of appetite; Nausea; Abnormally dark or light skin; Nail changes; Bone pain; Drowsiness and confusion; Problems concentrating or thinking; Numbness in the hands, feet, or other areas; Muscle twitching or cramps; Breath odor; Easy bruising, nosebleeds, or blood in the stool; Excessive thirst; Frequent hiccups; Problems with sexual function; Menstrual periods stop (amenorrhea); Sleep problems; Swelling of the feet and hands (edema); Vomiting, often in the morning"
Acute kidney failure,"Symptoms of acute kidney failure may include any of the following:; Blood in the stools; Blood in the urine; Breath odor and metallic taste in the mouth; Bruising easily; Changes in mental status or mood; Decreased appetite; Decreased sensation, especially in the hands or feet; Fatigue or slow sluggish movements; Flank pain (between the ribs and hips); Hand tremor; Heart murmur; High blood pressure; Nausea or vomiting, may last for days; Nosebleeds; Persistent hiccups; Prolonged bleeding; Seizures; Shortness of breath; Swelling due to the body keeping in fluid (may be seen in the legs, ankles, and feet); Urination changes, such as little or no urine, excessive urination at night, or urination that stops completely"
Polycystic kidney disease,Symptoms of PKD may include any of the following:; Abdominal pain or tenderness; Blood in the urine; Excessive urination at night (nocturia); Flank pain on one or both sides; Drowsiness; Joint pain; Nail abnormalities
Poststreptococcal glomerulonephritis (GN),"Symptoms may include any of the following:; Decreased urine output; Rust-colored urine; Swelling (edema), general swelling, swelling of the abdomen, swelling of the face or eyes, swelling of the feet, ankles, hands; Visible blood in the urine; Joint pain; Joint stiffness or swelling"
Alport syndrome,"The main symptom of Alport syndrome is blood in the urine that is often not visible and only detected under a microscope. This occurs from a young age. As the disease progresses, other symptoms may appear.; KIDNEYS; Other symptoms of kidney problems include:; EARS; Over time, Alport syndrome also leads to hearing loss in both ears. By the early teens, it is common in males with XLAS, though in females, hearing loss is not as common and happens when they're adults. With ARAS, boys and girls have hearing loss during childhood. With ADAS, it occurs later in life.; Hearing loss usually occurs before kidney failure.; EYES; Alport syndrome also leads to eye problems in those with XLAS and ARAS, including:; Eye problems are uncommon in people with ADAS.; Abnormal urine color; Blood in the urine that is visible during a cold or flu or exercise; Flank pain; High blood pressure; Swelling throughout the body (edema); Fatigue; Poor appetite; Excessive thirst; Abnormal shape of the lens (anterior lenticonus), which can lead to a slow decline in vision as well as cataracts.; Corneal erosion in which there is damage to the outer layer of the covering of the eyeball, leading to pain, itching, redness of the eye, or blurred vision.; Abnormal coloring of the retina, a condition called dot-and-fleck retinopathy. It doesn't cause vision problems, but can help diagnose Alport syndrome.; Macular hole in which there is thinning or a break in the macula. The macula is a part of the retina that makes central vision sharper and more detailed. A macular hole causes blurred or distorted central vision."
Urinary tract infection - children,"Young children with UTIs may have a fever, poor appetite, vomiting, or no symptoms at all.; Most UTIs in children only involve the bladder. It may spread to the kidneys.; Symptoms of a bladder infection in children include:; Signs that the infection may have spread to the kidneys include:; Blood in the urine; Cloudy urine; Foul or strong urine odor; Frequent or urgent need to urinate; General ill feeling (malaise); Pain or burning with urination; Pressure or pain in the lower pelvis or lower back; Wetting problems after the child has been toilet trained; Chills with shaking; Fever; Flushed, warm, or reddened skin; Nausea and vomiting; Pain in the side (flank) or back; Severe pain in the belly area"
Hydronephrosis of one kidney,"Common symptoms include:; In some cases, there may be no symptoms.; Flank pain; Abdominal mass, especially in children; Nausea and vomiting; Urinary tract infection (UTI); Fever; Painful urination (dysuria); Increased urinary frequency; Increased urinary urgency"
Obstructive uropathy,"Symptoms depend on whether the problem starts slowly or suddenly and if one or both kidneys are involved. Symptoms may include:; You may also have problems passing urine, such as:; Mild to severe pain in the flank. The pain may be felt on one or both sides.; Fever.; Nausea or vomiting.; Weight gain or swelling (edema) of kidney.; Urge to urinate often; Decrease in the force of urine stream or difficulty urinating; Dribbling of urine; Not feeling as if the bladder is emptied; Need to urinate more often at night; Decreased amount of urine; Leakage of urine (urinary incontinence); Blood in urine"
Prerenal azotemia,"Prerenal azotemia may have no symptoms. Or, symptoms of the causes of prerenal azotemia may be present.; Symptoms of dehydration may be present and include any of the following:; Confusion; Decreased or no urine production; Dry mouth due to thirst; Fast pulse; Fatigue; Pale skin color; Swelling"
Hemolytic-uremic syndrome,"STEC-HUS often begins with vomiting and diarrhea, which may be bloody. Within a week, the person may become weak and irritable. People with this condition may urinate less than normal. Urine output may almost stop.; Red blood cell destruction leads to symptoms of anemia.; Early symptoms:; Later symptoms:; Blood in the stools; Irritability; Fever; Lethargy; Vomiting and diarrhea; Weakness; Bruising; Decreased consciousness; Low urine output; No urine output; Pallor; Seizures -- rare; Skin rash that looks like fine red spots (petechiae)"
Nephrogenic diabetes insipidus,"You may have intense or uncontrollable thirst, and crave ice water.; You will produce large amounts of urine, usually more than 3 liters, and up to 15 liters per day. The urine is very dilute and looks almost like water. You may need to urinate every hour or even more, even during the night when you are not eating or drinking as much.; If you do not drink enough fluids, dehydration can result. Symptoms may include:; Other symptoms that can occur due to lack of fluids, causing dehydration, include:; Dry mucous membranes; Dry skin; Sunken appearance to eyes; Sunken fontanelles (soft spot) in infants; Changes in memory or balance; Fatigue, feeling weak; Headache; Irritability; Low body temperature; Muscle pain; Rapid heart rate; Weight loss; A change in alertness, and even coma"
Acute tubular necrosis,"Symptoms may include any of the following:; Decreased consciousness, coma, delirium or confusion, drowsiness, and lethargy; Decreased urine output or no urine output; General swelling, fluid retention; Nausea, vomiting"
Renal vein thrombosis,Symptoms may include:; Blood clot to the lung; Bloody urine; Decreased urine output; Flank pain or low back pain
Cystitis - noninfectious,"Common symptoms include:; Other symptoms may include:; Pressure or pain in the lower pelvis; Painful urination; Frequent need to urinate; Urgent need to urinate; Problems holding urine; Need to urinate at night; Abnormal urine color, cloudy urine; Blood in the urine; Foul or strong urine odor; Pain during sexual intercourse; Scrotum, penile, or vaginal pain; Fatigue"
Renal cell carcinoma,Symptoms of this cancer may include any of the following:; Abdominal pain and swelling; Back pain; Blood in the urine; Swelling of the veins around a testicle (varicocele); Flank pain; Weight loss; Fever; Liver dysfunction; Elevated erythrocyte sedimentation rate (ESR); Excessive hair growth in females; Pale skin; Vision problems
Testicular torsion,Symptoms include:; Additional symptoms that may be associated with this disease:; Sudden severe pain in one testicle. The pain may occur without a clear reason.; Swelling within one side of the scrotum (scrotal swelling).; Nausea or vomiting.; Testicle lump; Blood in the semen; Testicle pulled to a higher position in scrotum than normal (high riding)
Hydrocele,"The main symptom is a painless, round-oval shaped swollen scrotum, which feels like a water balloon. A hydrocele may occur on one or both sides. However, the right side is more commonly involved."
Prostatitis - bacterial,"Symptoms can start quickly, and can include:; Symptoms of chronic prostatitis are similar, but not as severe. They often begin more slowly. Some people have no symptoms between episodes of prostatitis.; Urinary symptoms include:; Other symptoms that may occur with this condition:; If prostatitis occurs with an infection in or around the testicles (epididymitis or orchitis), you may also have symptoms of that condition.; Chills; Fever; Flushing of the skin; Lower stomach tenderness; Body aches; Blood in the urine; Burning or pain with urination; Difficulty starting to urinate or emptying the bladder; Foul-smelling urine; Weak urine stream; Pain or aching in the abdomen above the pubic bone, in the lower back, in the area between the genitals and anus, or in the testicles; Pain with ejaculation or blood in the semen; Pain with bowel movements"
Asymptomatic bacteriuria,"There are no symptoms of this problem.; If you have these symptoms, you may have a urinary tract infection, but you do not have asymptomatic bacteriuria.; Burning during urination; Increased urgency to urinate; Increased frequency of urination"
Urinary tract infection - adults,"The symptoms of a bladder infection include:; If the infection spreads to your kidneys, symptoms may include:; Cloudy or bloody urine, which may have a foul or strong odor; Low grade fever in some people; Pain or burning with urination; Pressure or cramping in the lower abdomen or back; Strong need to urinate often, even right after the bladder has been emptied; Chills and shaking or night sweats; Fatigue and a general ill feeling; Fever above 101Â°F (38.3Â°C); Pain in the side, back, or groin; Flushed, warm, or reddened skin; Mental changes or confusion (in older people, these symptoms often are the only signs of a UTI); Nausea and vomiting; Severe abdominal pain (sometimes)"
Prostatitis - nonbacterial,Symptoms may include:; Blood in the semen; Blood in the urine; Pain in the genital area and lower back; Pain with bowel movements; Pain with ejaculation; Problems with urinating
Renal pelvis or ureter cancer,"Symptoms may include any of the following:; Constant back pain; Blood in the urine; Burning, pain, or discomfort with urination; Fatigue; Flank pain; Unexplained weight lossÂ; Loss of appetite; Anemia; Urinary frequency or urgency"
Cystitis - acute,"The symptoms of a bladder infection include:; Often in an older person, mental changes or confusion are the only signs of a possible infection.; Cloudy or bloody urine; Strong or foul-smelling urine; Low fever (most people will not have a fever); Pain or burning with urination; Pressure or cramping in the lower middle abdomen or back; Strong need to urinate often, even right after the bladder has been emptied"
Sickle cell disease,"Symptoms usually do not occur until after the age of 4 months.; Almost all people with sickle cell disease have painful episodes called crises. These can last from hours to days. Crises can cause pain in the lower back, leg, joints, and chest.; Some people have one episode every few years. Others have many episodes each year. The crises can be severe enough to require a hospital stay.; When sickle cell disease becomes more severe, symptoms may include:; Younger children with sickle cell disease have attacks of abdominal pain.; The following symptoms may occur because small blood vessels become blocked by the abnormal cells:; Over time, the spleen stops working. As a result, people with sickle cell disease may have symptoms of infections such as:; Other signs and symptoms include:; Fatigue; Paleness; Rapid heart rate; Shortness of breath; Yellowing of the eyes and skin (jaundice); Painful and prolonged erection (priapism); Poor eyesight or blindness; Problems with thinking or confusion caused by small strokes; Ulcers on the lower legs (in adolescents and adults); Bone infection (osteomyelitis); Gallbladder infection (cholecystitis); Lung infection (pneumonia); Urinary tract infection; Delayed growth and puberty; Painful joints caused by arthritis; Heart or liver failure due to too much iron (from blood transfusions)"
Glucose-6-phosphate dehydrogenase deficiency,People with this condition do not display any signs of the disease until their red blood cells are exposed to certain chemicals in food or medicine.; Symptoms are more common in men and may include:; Dark urine; Fever; Pain in abdomen; Enlarged spleen and liver; Fatigue; Pallor; Rapid heart rate; Shortness of breath; Yellow skin color (jaundice)
Hereditary spherocytic anemia,Infants may have yellowing of the skin and eyes (jaundice) and pale coloring (pallor).; Other symptoms may include:; Fatigue; Irritability; Shortness of breath; Weakness
Myelofibrosis,"Symptoms may include any of the following:; Abdominal fullness, pain, or feeling full before finishing a meal (because ofÂ an enlarged spleen); Bone pain; Easy bleeding, bruising; Fatigue; Increased likelihood of getting an infection; Pale skin; Shortness of breath with exercise; Weight loss; Night sweats; Low grade fever; Enlarged liver; Dry cough; Itchy skin"
Chronic lymphocytic leukemia (CLL),"Symptoms usually develop slowly. CLL often does not cause symptoms at first. It may be found by blood tests done in people for other reasons.; Symptoms of CLL may include:; Enlarged lymph nodes, liver, or spleen; Excessive sweating, night sweats; Fatigue; Fever; Infections that keep coming back (recur), despite treatment; Loss of appetite or becoming full too quickly (early satiety); Weight loss"
Primary amyloidosis,"Symptoms depend on the organs affected. This disease can affect many organs and tissues, including the tongue, intestines, skeletal and smooth muscles, nerves, skin, ligaments, heart, liver, spleen, kidneys, and bladder.; Symptoms may include any of the following:; Other symptoms that may occur with this disease:; Abnormal heart rhythm; Fatigue; Numbness of hands or feet; Shortness of breath; Skin changes; Swallowing problems; Swelling in the arms and legs; Swollen tongue; Weak hand grip; Weight loss or weight gain; Decreased urine output; Diarrhea; Hoarseness or changing voice; Joint pain; Weakness"
Paroxysmal nocturnal hemoglobinuria (PNH),"Symptoms may include:; Abdominal pain; Back pain; Blood clots, may form in some people; Dark urine, comes and goes; Easy bruising or bleeding; Headache; Shortness of breath; Weakness, fatigue; Pallor; Chest pain; Difficulty swallowing"
Immune thrombocytopenic purpura (ITP),"ITP symptoms can include any of the following:; Abnormally heavy periods in women; Bleeding into the skin, often around the shins, causing a skin rash that looks like pinpoint red spots (petechial rash); Easy bruising; Nosebleed or bleeding in the mouth"
Polycythemia - newborn,Symptoms may include:; Extreme sleepiness; Feeding problems; Seizures
Hemophilia,"The main symptom of hemophilia is bleeding. Hemophilia can be mild, moderate, or severe. Mild cases may not be detected until later in life, after excessive bleeding following surgery or an injury. Precautions may need to be taken before engaging in sports.; In the worst cases, bleeding occurs for no reason. Internal bleeding may occur anywhere and bleeding into joints is common."
Hemophilia A,"The severity of symptoms vary. Prolonged bleeding is the main symptom. It is often first seen when an infant is circumcised. Other bleeding problems usually show up when the infant starts crawling and walking.; Mild cases may go unnoticed until later in life. Symptoms may first occur after surgery or injury. Internal bleeding may occur anywhere.; Symptoms may include:; Bleeding into joints with associated pain and swelling; Blood in the urine or stool; Bruising; Gastrointestinal tract and urinary tract bleeding; Nosebleeds; Prolonged bleeding from cuts, tooth extraction, and surgery; Bleeding that starts without cause"
Hemophilia B,"Severity of symptoms can vary. Prolonged bleeding is the main symptom. It is often first seen when the infant is circumcised. Other bleeding problems usually show up when the infant starts crawling and walking.; Mild cases may go unnoticed until later in life. Symptoms may first occur after surgery or injury. Internal bleeding may occur anywhere.; Symptoms may include:; Bleeding into joints with associated pain and swelling; Blood in the urine or stool; Bruising; Gastrointestinal tract and urinary tract bleeding; Nosebleeds; Prolonged bleeding from cuts, tooth extraction, and surgery; Bleeding that starts without cause"
Cryoglobulinemia,"Symptoms will vary, depending on the type of disorder you have and the organs that are involved. Symptoms may include:; Breathing problems; Fatigue; Glomerulonephritis (kidney inflammation); Joint pain; Muscle pain; Purpura; Raynaud phenomenon; Skin death; Skin ulcers"
Acute lymphoblastic leukemia (ALL),"ALL makes a person more likely to bleed and develop infections. Symptoms include:; These symptoms can occur with other conditions. Talk to your health care provider about the meaning of specific symptoms.; Bone and joint pain; Easy bruising and bleeding (such as bleeding gums, skin bleeding, nosebleeds, abnormal periods); Feeling weak or tired; Fever; Loss of appetite and weight loss; Paleness; Pain or feeling of fullness below the ribs from an enlarged liver or spleen; Pinpoint red spots on the skin (petechiae); Swollen lymph nodes in the neck, under arms, and groin; Night sweats"
Acute myeloid leukemia - adult,Symptoms of AML are mainly due to the effects on blood elements. Symptoms of AML may include any of the following:; Bleeding from the nose; Bleeding and swelling (rare) in the gums; Bruising; Bone pain or tenderness; Fever and fatigue; Heavy menstrual periods; Pale skin; Shortness of breath (gets worse with exercise); Weight loss
Essential thrombocythemia,"Symptoms may include any of the following:; If bleeding is a problem, symptoms may include any of the following:; Headache (most common); Tingling, coldness, or blueness in the hands and feet; Feeling dizzy or lightheaded; Vision problems; Mini-strokes (transient ischemic attacks) or stroke; Easy bruising and nosebleeds; Bleeding from the gastrointestinal tract,Â respiratoryÂ system, urinary tract, or skin; Bleeding from the gums; Prolonged bleeding from surgical procedures or tooth removal"
Von Willebrand disease,Symptoms may include:; Note: Most women with heavy or prolonged menstrual bleeding do not have von Willebrand disease.; Abnormal menstrual bleeding; Bleeding of the gums; Bruising; Nosebleeds; Skin rash
Factor XII (Hageman factor) deficiency,There are usually no symptoms.
Acquired platelet function defect,"Symptoms may include any of the following:; Heavy menstrual periods or prolonged bleeding (more than 5 days each period); Abnormal vaginal bleeding; Blood in the urine; Bleeding under the skin; Bruising easily or pinpoint red spots on the skin; Gastrointestinal bleeding resulting in bloody, dark black, or tarry bowel movements; or vomiting blood or material that looks like coffee grounds; Nosebleeds"
Antiphospholipid syndrome - APS,"You may not have any symptoms, even though you have the antibodies. Symptoms that may occur include:; In rare cases, clots suddenly develop in many arteries over a period of days. This is called catastrophic anti-phospholipid syndrome (CAPS). It can lead to stroke as well as the clots in the kidney, liver, and other organs throughout the body, and gangrene in the limbs. CAPS has a high mortality rate, even with treatment.; Blood clots in the legs, arms or the lungs. The clots can be in either the veins or in the arteries.; Recurrent miscarriages or still birth.; Rash, in some people."
Factor VII deficiency,Symptoms may include any of the following:; Bleeding from mucus membranes; Bleeding into joints; Bleeding into muscles; Bruising easily; Heavy menstrual bleeding; Nosebleeds that do not stop easily; Umbilical cord bleeding after birth
Prothrombin deficiency,Symptoms may include any of the following:; Abnormal bleeding after childbirth; Heavy menstrual bleeding; Bleeding after surgery; Bleeding after trauma; Bruising easily; Nosebleeds that do not stop easily; Umbilical cord bleeding after birth
Factor V deficiency,Excessive bleeding with menstrual periods and after childbirth often occurs. Other symptoms can include:; Bleeding into the skin; Bleeding of the gums; Excessive bruising; Nosebleeds; Prolonged or excessive loss of blood with surgery or trauma; Umbilical stump bleeding
Folate-deficiency anemia,Symptoms may include:; Fatigue; Weakness; Headache; Pallor; Sore mouth and tongue
Thrombotic thrombocytopenic purpura,"Symptoms may include any of the following:; Bleeding into the skin or mucus membranes; Confusion; Fatigue, weakness; Fever; Headache; Pale skin color or yellowish skin color; Shortness of breath; Fast heart rate (over 100 beats per minute)"
Factor X deficiency,Symptoms may include any of the following:; Bleeding into the joints; Bleeding into the muscles; Bruising easily; Heavy menstrual bleeding; Mucus membrane bleeding; Nosebleeds that do not stop easily; Umbilical cord bleeding after birth
Aplastic anemia,"Symptoms are due to the underproduction of red cells, white cells, and platelets. Symptoms may be severe from the start or gradually worsen over time as the disease progresses.; Low red cell count (anemia) can cause:; Low white cell count (leukopenia) causes an increased risk for infection.; Low platelet count (thrombocytopenia) can result in bleeding. Symptoms include:; Fatigue; Pallor (paleness); Rapid heart rate; Shortness of breath with exercise; Weakness; Lightheadedness upon standing; Bleeding gums; Easy bruising; Nose bleeds; Rash, small pinpoint red marks on the skin (petechiae); Frequent or severe infections (less common)"
Drug-induced thrombocytopenia,Decreased platelets may cause:; Abnormal bleeding; Bleeding when you brush your teeth; Easy bruising; Pinpoint red spots on the skin (petechiae)
Paroxysmal cold hemoglobinuria (PCH),"Symptoms may include:; Chills; Fever; Back pain; Leg pain; Abdominal pain; Headache; General discomfort, uneasiness, or ill feeling (malaise); Blood in the urine (red urine)"
Congenital antithrombin III deficiency,"People will usually have symptoms of a blood clot. Blood clots in the arms or legs usually cause swelling, redness, and pain. When a blood clot breaks off from where it formed and travels to another part of the body, it is called a thromboembolism. Symptoms depend on where the blood clot travels to. A common place is the lung, where the clot can cause a cough, shortness of breath, pain while taking deep breaths, chest pain, and even death. Blood clots that travel to the brain can cause a stroke."
Congenital protein C or S deficiency,"If you have this condition, you are more likely to develop blood clots, especially at a younger age. The symptoms are the same as for deep vein thrombosis, and include:; Pain or tenderness in the affected area; Redness or swelling in the affected area"
Anemia,"You may have no symptoms if the anemia is mild or if the problem develops slowly. Symptoms that may occur first include:; If the anemia gets worse, symptoms may include:; Feeling weak or tired more often than usual, or with exercise; Headaches; Problems concentrating or thinking; Irritability; Loss of appetite; Numbness and tingling of hands and feet; Blue color to the whites of the eyes; Brittle nails; Desire to eat ice or other non-food things (pica syndrome); Lightheadedness when you stand up; Pale skin color; Shortness of breath with mild activity or even at rest; Sore or inflamed tongue; Mouth ulcers; Abnormal or increased menstrual bleeding"
Methemoglobinemia - acquired,
Methemoglobinemia,Symptoms of type 1 MetHb include:; Symptoms of type 2 MetHb include:; Symptoms of hemoglobin M disease include:; Symptoms of acquired MetHb include:; Bluish coloring of the skin (called cyanosis); Developmental delay; Failure to thrive; Intellectual disability; Seizures; Bluish coloring of the skin; Bluish coloring of the skin; Headache; Giddiness; Altered mental state; Fatigue; Shortness of breath; Lack of energy
Hereditary elliptocytosis,Symptoms may include:; Fatigue.; Shortness of breath.; Yellow skin and eyes (jaundice). This may continue for a long time in a newborn.
Gaucher disease,Bleeding because of low platelet count is the most common symptom seen in Gaucher disease. Other symptoms may include:; Bone pain and fractures; Cognitive impairment (decreased thinking ability); Easy bruising; Enlarged spleen; Enlarged liver; Fatigue; Heart valve problems; Lung disease (rare); Seizures; Severe swellingÂ at birth; Skin changes
Anemia of chronic disease,"Anemia of chronic disease is often mild. You may not notice any symptoms.; When symptoms occur, they may include:; Feeling weak or tired; Headache; Paleness; Shortness of breath"
Hereditary ovalocytosis,Newborn infants with hereditary ovalocytosis may have anemia and jaundice. Adults most often do not show symptoms.
Cytomegalovirus (CMV) infection,"Many people are exposed to CMV early in life, but do not realize it because they have no symptoms, or they have mild symptoms that resemble the common cold or flu. These may include:; CMV can cause infections in different parts of the body. Symptoms vary depending on the area that is affected. Examples of body areas that can be infected by CMV are:; Enlarged lymph nodes, especially in the neck; Fever; Fatigue; Loss of appetite; Malaise; Muscle aches; Rash; Sore throat; The lungs; The stomach or intestine; The back of the eye (retina); A baby while still in the womb (congenital CMV)"
Pernicious anemia,"Some people do not have symptoms. Symptoms may be mild.; They may include:; If you have a low vitamin B12 level for a long time, you can have nervous system damage. Symptoms may include:; Diarrhea or constipation; Nausea; Vomiting; Fatigue, lack of energy, or lightheadedness when standing up or with exertion; Loss of appetite; Pale skin (mild jaundice); Shortness of breath, mostly during exercise; Heartburn; Swollen, red tongue or bleeding gums; Confusion; Short-term memory loss; Depression; Loss of balance; Numbness and tingling in the hands and feet; Problems concentrating; Irritability; Hallucinations; Delusions; Optic nerve atrophy"
Chronic myelogenous leukemia (CML),"Chronic myelogenous leukemia is grouped into phases:; The chronic phase can last for months or years. The disease may have few or no symptoms during this time. Most people are diagnosed during this stage, when they have blood tests done for other reasons.; The accelerated phase is a more dangerous phase. Leukemia cells grow more quickly. Common symptoms include fever (even without infection), bone pain, and a swollen spleen.; Untreated CML leads to the blast crisis phase. Bleeding and infection may occur due to bone marrow failure.; Other possible symptoms of a blast crisis include:; Chronic; Accelerated; Blast crisis; Bruising; Excessive sweating (night sweats); Fatigue; Fever; Pressure under the lower left ribs from a swollen spleen; Rash -- small pinpoint red marks on the skin (petechiae); Weakness"
Hemolytic anemia,"You may not have symptoms if the anemia is mild. If the problem develops slowly, the first symptoms may be:; If the anemia gets worse, symptoms may include:; Feeling weak or tired more often than usual, or with exercise; Feelings that your heart is pounding or racing; Headaches; Problems concentrating or thinking; Lightheadedness when you stand up; Pale skin; Shortness of breath; Sore tongue; Left upper abdominal pain due to an enlarged spleen"
Hemoglobin C disease,"Most people do not have symptoms. In some cases, jaundice may occur. Some people may develop gallstones that need to be treated."
Disseminated intravascular coagulation (DIC),"Symptoms of DIC may include any of the following:; Bleeding, from many sites in the body; Blood clots; Bruising; Drop in blood pressure; Shortness of breath; Confusion, memory loss or change of behavior; Fever"
Vitamin B12 deficiency anemia,"You may not have symptoms. Symptoms may be mild.; Symptoms may include:; If you have low vitamin B12 level for a long time, it can cause nerve damage. Symptoms of nerve damage include:; Diarrhea or constipation; Fatigue, lack of energy, or lightheadedness when standing up or with exertion; Loss of appetite; Pale skin; Feeling irritable; Shortness of breath, mostly during exercise; Swollen, red tongue or bleeding gums; Numbness and tingling of hands and feet; Loss of balance; Problems concentrating; Confusion or change in mental status (dementia) in severe cases; Psychosis (losing contact with reality); Hallucinations"
Leukemoid reaction,
Immune hemolytic anemia,"You may not have symptoms if the anemia is mild. If the problem develops slowly, symptoms that may occur first include:; If the anemia gets worse, symptoms may include:; Feeling weak or tired more often than usual, or with exercise; Headaches; Problems concentrating or thinking; Lightheadedness when you stand up; Pale skin color (pallor); Shortness of breath; Sore tongue"
Fibrinolysis - primary or secondary,
Drug-induced immune hemolytic anemia,Symptoms may include any of the following:; Dark urine; Fatigue; Pale skin color; Rapid heart rate; Shortness of breath; Yellow skin and whites of the eyes (jaundice)
Hodgkin lymphoma,"The first sign of Hodgkin lymphoma is often a painless swollen lymph node that appears without a known cause. The disease can spread to nearby lymph nodes. Later it may spread to the spleen, liver, bone marrow, or other organs.; Symptoms may include any of the following:; Other symptoms that may occur with this disease:; Symptoms caused by Hodgkin lymphoma may occur with other conditions. Talk to your health care provider about the meaning of your specific symptoms.; Feeling very tired all the time; Fever and chills that come and go; Itching all over the body that cannot be explained; Loss of appetite; Drenching night sweats; Painless swelling of the lymph nodes in the neck, armpits, or groin (swollen glands); Weight loss that cannot be explained; Coughing, chest pains, or breathing problems if there are swollen lymph nodes in the chest; Excessive sweating; Pain or feeling of fullness below the ribs due to swollen spleen or liver; Pain in lymph nodes after drinking alcohol; Skin blushing or flushing"
Non-Hodgkin lymphoma,"Symptoms depend on what area of the body is affected by the cancer and how fast the cancer is growing.; Symptoms may include:; Night sweats; Fever and chills that come and go; Itching; Swollen lymph nodes in the neck, underarms, groin, or other areas; Weight loss; Coughing or shortness of breath if the cancer affects the thymus gland or lymph nodes in the chest, putting pressure on the windpipe (trachea) or its branches; Abdominal pain or swelling, leading to loss of appetite, constipation, nausea, and vomiting; Headache, concentration problems, personality changes, or seizures if the cancer affects the brain"
Congenital platelet function defects,Symptoms may include any of the following:; Excessive bleeding during and after surgery; Bleeding gums; Easy bruising or pinpoint red spots on the skin; Heavy menstrual periods; Nosebleeds; Prolonged bleeding with small injuries
Multiple myeloma,"Multiple myeloma most commonly causes:; As the cancer cells grow in the bone marrow, you may have bone pain, most often in the ribs or back.; The cancer cells can weaken bones. As a result:; Low red blood cell count (anemia), which can lead to fatigue and shortness of breath; Low white blood cell count, which makes you more likely to get infections; Low platelet count, which can lead to abnormal bleeding; You may develop broken bones (bone fractures) just from doing normal activities.; If cancer grows in the spine bones, it can press on the nerves. This can lead to numbness or weakness of the arms or legs.; Frequent infections may occur."
Iron deficiency anemia,"You may have no symptoms if the anemia is mild.; Most of the time, symptoms are mild at first and develop slowly. Symptoms may include:; As the anemia gets worse, symptoms may include:; Symptoms of the conditions associated with bleeding that cause iron deficiency anemia include:; Feeling weak or tired more often than usual, or with exercise; Headaches; Dizziness; Palpitations; Problems concentrating or thinking; Brittle nails; Blue color to the whites of the eye; Desire to eat ice or other non-food things (pica); Feeling lightheaded when you stand up; Pale skin color; Shortness of breath; Sore or inflamed tongue; Mouth ulcers; Uncontrolled movement of legs (during sleep); Hair loss; Dark, tar-colored stools or blood in the stool; Heavy menstrual bleeding; Pain in the upper belly (from ulcers)"
Secondary systemic amyloidosis,"Symptoms of secondary systemic amyloidosis depend on which body tissue is affected by the protein deposits. These deposits damage normal tissues. This may lead to the symptoms or signs of this illness, including:; Bleeding in the skin; Fatigue; Irregular heartbeat; Numbness of hands and feet; Rash; Shortness of breath; Swallowing difficulties; Swollen arms or legs; Swollen tongue; Weak hand grip; Weight loss"
Thrombocytopenia,"You may not have any symptoms. Or you may have general symptoms, such as:; Other symptoms depend on the cause.; Bleeding in the mouth and gums; Bruising; Nosebleeds; Rash"
Thalassemia,"The most severe form of alpha thalassemia major causes stillbirth (death of the unborn baby during birth or the late stages of pregnancy).; Children born with beta thalassemia major (Cooley anemia) are normal at birth, but develop severe anemia during the first year of life.; Other symptoms can include:; People with the minor form of alpha and beta thalassemia have small red blood cells but no symptoms.; Bone deformities in the face; Fatigue; Growth failure; Shortness of breath; Yellow skin (jaundice)"
Waldenstrom macroglobulinemia,"Symptoms of WM may include any of the following:; Bleeding of the gums and nosebleeds; Blurred or decreased vision; Bluish skin in the fingers after cold exposure; Dizziness or confusion; Easy bruising of the skin; Fatigue; Diarrhea; Numbness, tingling, or burning pain in the hands, feet, fingers, toes, ears, or nose; Rash; Swollen glands; Unintentional weight loss; Vision loss in one eye"
