Disease Name,Symptoms
Heart Attack (Myocardial Infarction),"The most common symptom of a heart attack is chest pain, usually described as crushing, squeezing, pressing, heavy, or occasionally, stabbing or burning. Chest pain tends to be focused either in the center of the chest or just below the center of the rib cage, and it can spread to the arms, abdomen, neck, lower jaw or neck.
Other symptoms can include sudden weakness, sweating, nausea, vomiting, breathlessness, or lightheadedness. Sometimes, when a heart attack causes burning chest pain, nausea and vomiting, a patient may mistake his or her heart symptoms for indigestion.
"
Heart Failure,"The first symptom of heart failure often is fatigue. As the condition worsens, shortness of breath and wheezing occur during exertion. Eventually, shortness of breath and wheezing occur when you are resting. As fluid accumulates in the lungs, people with heart failure may begin to sleep propped up with pillows. This makes breathing easier. There also can be a chronic cough due to fluid accumulation in the lungs.
Fluid also can collect in the legs and ankles, causing swelling. In people who are less active, collected fluid can accumulate in the middle of the body. Some people urinate several times during the night as the kidneys drain off some of this excess fluid. As the body accumulates more and more fluid, the person may experience significant weight gain.
"
Heart Murmur,"An innocent murmur does not cause any symptoms. For other types of heart murmurs, symptoms vary depending on the cause. In general, when a heart murmur significantly interferes with the heart's ability to pump blood, you can experience one or more of the following symptoms:
"
Heart Valve Problems,"Many people with mild heart valve problems do not have any symptoms, and the abnormal valve is discovered only when a heart murmur is heard during a physical examination. For more severe heart valve problems, symptoms vary slightly depending on which valve is involved.
"
Heart Valve Replacement,
Heat Stroke (Hyperthermia),"Heat stroke can come on suddenly, but warning symptoms often appear first. They include:
When heat stroke starts, neurological symptoms can include:
"
Hematuria,
Hemochromatosis,"The early symptoms of hemochromatosis vary a lot from person to person and are general symptoms that also occur in other conditions. In fact, there may be no symptoms in the early stages of the disease. Symptoms include:
As the condition progresses, your skin may take on a bronze or yellowish color. The disease can lead to organ failure, especially liver failure (cirrhosis), which can cause confusion, bleeding, fluid accumulation in the legs and abdomen, black or bloody stools, and jaundice. Deposits of iron in the heart can cause heart failure or an irregular heartbeat. If the pancreas is involved, you also can develop diabetes, which can cause frequent urination and excessive thirst.
"
Hemophilia,
Hemorrhagic Stroke,"Symptoms of a hemorrhagic stroke vary, depending on the cause:
"
Hemorrhoids,
Hepatitis A,
Hepatitis B,
Hepatitis C,
Hepatitis Overview,
Hereditary-Patterned Baldness,
Hernia,"Most hernias cause a bulge under the skin (except hiatus hernias). The location of this bulge depends on the specific type of hernia. For example, an inguinal hernia appears as a bulge in the groin, while an umbilical hernia appears as a bulge near the navel. Some hernias can cause twinges of pain or a pulling sensation, but most do not cause pain. Hernias are usually easier to see with coughing or straining. They also tend to be more prominent with standing and often disappear with lying down.
A hernia is considered incarcerated if a portion of intestine becomes trapped in the hernia and is unable to slide back into the abdomen. Rarely, the trapped intestine can strangulate. This means that the contained intestine dies because its blood supply has been cut off by the constriction of the hernia. This causes severe pain and requires urgent surgery.
"
Hernia Repair,
Herniated Disk,"The first symptom of a herniated disc is usually back pain in the area of the affected disc. Some researchers believe this pain is a signal that a disc's tough outer shell has been injured or weakened, not necessarily that the inner core has herniated. If the inner core does herniate and press on a nearby nerve, the resulting symptoms vary depending on the location of the herniated disc:
In most people with a lumbar disc herniation, severe leg pain is the chief complaint. This pain is called sciatica because it comes from pressure on the sciatic nerve. It usually begins in the lower back, then spreads into the buttocks and down the back of one thigh and leg. Sciatica typically becomes worse if the patient coughs, sneezes, bears down, or moves the back abruptly. While often relieved by rest, sciatica may become worse with driving or lifting. In addition, there may be numbness, tingling, or muscle weakness in the buttocks or leg on the side of the pain.
In rarer and more severe forms of lumbar disc herniation, the nerve is compressed more extensively. If this happens, additional symptoms can develop, including rectal pain; loss of bowel and bladder control; and numbness around the genital area, buttocks, or backs of the thighs.
"
Hiatal Hernia,
High Blood Pressure (Hypertension),"Usually, hypertension does not directly cause symptoms. When blood pressure is very high, it can cause headaches, dizziness, fatigue or visual symptoms.
"
High Cholesterol (Hypercholesterolemia),"Most people with high cholesterol don't have any symptoms until cholesterol-related atherosclerosis causes significant narrowing of the arteries leading to their hearts or brains. The result can be heart-related chest pain (angina) or other symptoms of coronary artery disease, as well as symptoms of decreased blood supply to the brain (transient ischemic attacks or stroke).
About 1 out of every 500 people has an inherited disorder called familial hypercholesterolemia, which can cause extremely high cholesterol levels (above 300 milligrams per deciliter). People with this disorder can develop nodules filled with cholesterol (xanthomas) over various tendons, especially the Achilles tendons of the lower leg. Cholesterol deposits also can occur on the eyelids, where they are called xanthelasmas.
"
Hip Fracture,
Hirsutism,"A woman with the mildest form of hirsutism may notice significant growth of hair that is mature (the same color as scalp hair) on the upper lip, chin, sideburn area, around the nipples or lower abdomen. More advanced hirsutism will cause mature hair to grow on the upper back, shoulders, sternum and upper abdomen. It most often begins during puberty. If hirsutism starts before or after puberty, the cause could be hormonal and the woman should be evaluated by a doctor.
"
HIV/AIDS,
Hives (Urticaria),
Hodgkin Lymphoma,
Hot Flashes,
Human Papillomavirus (HPV),
Huntington's Disease (Chorea),
Hydrocephalus,
Hyperkeratosis,"Many forms of hyperkeratosis are painless. However, corns, calluses and plantar warts can cause a great deal of discomfort.
"
Hyperthyroidism,"Symptoms of hyperthyroidism include:
In women, menstrual periods may become less frequent or stop completely. Older people may develop heart failure or chest pain.
When Graves' disease causes hyperthyroidism, you also may have swelling of tissues behind the eyes. This causes a characteristic protruding, staring appearance.
"
Hypoglycemia,"Hypoglycemia can cause:
"
Hypoparathyroidism,
Hypothyroidism,
Ichthyosis,
Illness Anxiety Disorder,
Immune Thrombocytopenic Purpura (ITP),
Impetigo,"Impetigo causes small bumps or blisters that burst. The skin underneath is moist, tender and red, and it oozes a clear liquid. A honey-colored crust, which may itch, then forms over the reddened area. If the disease is more severe, you also may have a fever and swelling of the lymph glands (swollen glands) in the face or neck.
"
Impotence (Erectile Dysfunction),
Infectious Arthritis,"Symptoms of infectious arthritis include:
Other symptoms vary, depending on the cause. Some more common causes of infectious arthritis include:
"
Infectious Mononucleosis,"The first symptoms of mononucleosis typically include:
Fever
Headaches
Muscle aches
Unusual fatigue, such as the need for 12 to 16 hours of sleep daily
These symptoms are followed very shortly by:
Sore throat
Enlarged lymph nodes
Chills
Joint aches
Loss of appetite and slight weight loss
Nausea and vomiting (occasionally)
A red rash, usually on the chest. This is more likely if the person has recently taken the antibiotics ampicillin or amoxicillin.
Abdominal pain
Enlarged spleen
Rare symptoms include:
Jaundice (yellow skin and eyes)
Difficulty breathing
Anemia
Irregular heart rhythms
In rare cases, an enlarged spleen can rupture. The spleen is a small organ near the stomach. Untreated, a ruptured spleen can cause life-threatening internal bleeding.
"
Ingrown Toenail,
Inguinal Hernia,
Insomnia,
Interstitial Cystitis,"Interstitial cystitis may cause:
"
Intracranial Aneurysms,"Most brain aneurysms don't cause symptoms until they burst. When an aneurysm ruptures, it often causes bleeding in the brain, which is a medical emergency. Bleeding in the brain usually leads to a very severe headache (often described as ""the worst headache of my life""). Brief loss of consciousness, nausea and vomiting, changes in vision, or neck stiffness may accompany the headache. If you experience these symptoms, call 911 or get to the emergency room as soon as possible.
A very large aneurysm may cause symptoms before it bursts, including pain above and behind the eye; numbness, weakness, or paralysis on one side of the face; dilated pupils; and vision changes.
"
Iron Deficiency,"Mild iron deficiency may not cause any symptoms. When iron deficiency has progressed to actual anemia, there can be fatigue, breathlessness, unusually pale skin, and a decreased ability to exercise. People who have had severe iron deficiency for a prolonged period sometimes complain of trouble swallowing or have a sore mouth or tongue. In some cases, there can be unusually brittle fingernails or an abnormal curling and softness of the nails called spooning.
"
Irritable Bowel Syndrome (IBS),
Jet Lag,"Symptoms of jet lag can be mild or severe, depending on the number of time zones you cross and your sensitivity to such changes. The more time zones you cross, the more likely it is that your body rhythms will be disrupted, which can lead to more severe symptoms. Most people who cross five or more time zones will experience at least some symptoms, which can include
"
Jock Itch (Tinea Cruris),"A flat, red, itchy rash first appears high on the inner side of one or both thighs. It spreads outward in a ringlike circular pattern while the center clears up partially. The border is sharply marked, slightly raised and often beefy red in color. Jock itch can spread to the pubic and genital regions and sometimes to the buttocks.
"
Juvenile Arthritis,"Symptoms vary depending on the child and the specific disorder. Common symptoms include:
Other symptoms can include:
"
Kaposi's Sarcoma,
Kawasaki Disease,
Keloids,"Keloids usually appear in areas of previous trauma but may extend beyond the injured area. They are shiny, smooth and rounded skin elevations that may be pink, purple, or brown. They can be doughy or firm and rubbery to the touch, and they often feel itchy, tender or uncomfortable. They may be unsightly. A large keloid in the skin over a joint may interfere with joint function.
"
Keratitis,
Kidney Cancer,
Kidney Failure,"Symptoms vary depending on the type of renal injury or failure.
If left untreated, acute kidney injury may progress to renal failure, which can cause extra fluid to back up behind the heart into the lungs, cardiac rhythm abnormalities, confusion and behavioral changes.
"
Kidney Stones,
Knee Sprain,"Symptoms of a knee sprain vary depending on the specific ligament that is torn:
"
Lactose Intolerance,"Common symptoms of lactose intolerance include:
Flatulence that begins about 30 minutes to 2 hours after eating or drinking foods or drinks containing lactose.
The severity of symptoms varies, depending on the amount of lactose an individual can tolerate, the amount of lactose ingested, and the size and fat content of the meal. People who also have irritable bowel syndrome tend to have more severe symptoms from lactose intolerance.
"
Lacunar Stroke,"The symptoms of lacunar stroke vary depending on the part of the brain that is deprived of its blood supply. Different areas of the brain are responsible for different functions, such as sensation, movement, sight, speech, balance and coordination.
Symptoms can include:
In a person with prolonged, untreated high blood pressure, multiple lacunar strokes can occur. This can cause additional symptoms to develop, including emotional behavior and dementia.
The sudden appearance of one or more of these symptoms is a warning sign that a stroke may be in progress. Sometimes, the small clots that can cause a lacunar stroke interfere with blood flow only for a few minutes. If the clot dissolves before damage is done, then symptoms can begin to improve within minutes and may go away completely. When symptoms go away without treatment and full recovery occurs within 24 hours, the event is called a transient ischemic attack (TIA). Never decide to wait and see whether stroke symptoms will go away on their own. Get to an emergency room as quickly as possible to get treatment.
"
Langerhans' Cell Histiocytosis (Histiocytosis X),
Laryngitis,
Latex Allergy,
Lazy Eye (Amblyopia),
Lead Poisoning,
Leg Fracture,"If you have fractured the shaft of your femur, your symptoms may include:
If you have fractured the shaft of your tibia, or both your tibia and fibula, you may see:
A fibula fracture that occurs alone usually causes:
"
Leg Strain,"Symptoms of a strained leg muscle can include:
"
Leukemia (Overview),
Liver Cancer,"Symptoms usually do not appear until the disease is advanced. Symptoms can include:
Liver cancer can lead to high pressure in blood vessels that feed into the liver. This can cause veins in the esophagus and stomach to swell with significant risk of bleeding and vomiting blood.
"
Long QT Syndrome,"In most people, a prolonged QT interval does not cause any symptoms. The concern is that it can lead to an abnormal heart rhythm (arrhythmia), which may be life threatening. Arrhythmias can also cause fainting and shortness of breath.
"
Lung Cancer Overview,"In some cases, lung cancer is detected when a person with no symptoms has a chest x-ray or computed tomography (CT) scan for another reason. But most people with lung cancer have one or more of these symptoms:
If the cancer has spread beyond the lungs, it can cause other symptoms. For example, you may have bone pain if it has spread to your bones.
Certain small cell lung cancers may secrete chemicals that can alter the body's chemical composition. For example, levels of sodium and calcium may be abnormal. This can lead to the diagnosis of small cell lung cancer.
Many of these symptoms can be caused by other conditions. See your doctor if you have symptoms so that the problem can be diagnosed and properly treated.
"
Lyme Disease,
Lymphedema,
Lymphoma Overview,"The main symptom of both Hodgkin and non-Hodgkin lymphomas is swollen lymph nodes in the neck, under the arms, or in the groin. Other symptoms include:
Because swollen lymph nodes caused by lymphoma usually are painless, they may get larger over a long time before the person notices. Also, fever may come and go for several weeks. Even the unexplained weight loss may continue for months before the person sees a doctor.
"
Macular Degeneration,
Major Depression,
Malaria,"Symptoms of malaria can begin as early as six to eight days after a bite by an infected mosquito. They include
If treatment is delayed, more severe complications of malaria can occur. Most people who develop these complications are infected with theP. falciparumspecies. They include
"
Male Infertility,
Malignant Hyperthermia,
Marfan Syndrome,"Marfan syndrome affects each person differently, and the presence and severity of symptoms can vary. Most often, people with Marfan syndrome become aware of the disorder after they find out that someone else in their family has it or because of their appearance. People with Marfan syndrome typically are tall with long, thin extremities, with or without other skeletal changes.
Vision problems, including nearsightedness and ectopia lentis, usually develop. The symptoms, such as chest pain and shortness of breath, can be very dramatic if there is expansion of an aortic aneurysm or heart valve damage.
"
Maturity Onset Diabetes of the Young (MODY),"Symptoms related to MODY tend to develop gradually. This is similar to what happens to people with type 2 diabetes. In comparison, the symptoms of type 1 diabetes often occur rather quickly over a few weeks.
Early symptoms of MODY may include blurry vision, recurrent skin infections, or yeast infections. But there may be no symptoms at all. People with MODY often have high blood sugar levels (hyperglycemia) for many years before they have any symptoms. The increased blood sugar develops gradually, and may only be noticed if a doctor does a blood sugar test during a checkup.
Without treatment, blood sugars will continue to rise, causing:
"
Measles (Rubeola),"Measles symptoms begin about 8 to 12 days after coming in contact with someone who has measles. The first symptoms include coughing, runny and stuffy nose, a general, sick feeling (malaise), red eyes with tearing (conjunctivitis), and a fever up to 105 degrees Fahrenheit. Within two to four days, these symptoms are followed by Koplik's spots in the mouth, bluish white or gray spots on a red background, seen inside the cheeks.
With a measles rash, you usually see non-itchy pink or bright red spots. The rash begins at the hairline and behind the ears, then spreads downward to the neck, trunk, arms and legs, palms and soles. The rash begins to fade about four days later in the same order that it appeared, first from the head and neck, then the trunk and arms and legs. The fading rash may leave behind a temporary brownish discoloration or flakiness that clears up two to three days later. Some people also have big lymph nodes (swollen glands), diarrhea and vomiting.
Patients with compromised immune systems are more likely to develop severe complications from measles, but they may not develop the typical measles rash.
"
Meckel's Diverticulum,"Most people with Meckel's diverticulum do not experience any symptoms. Symptoms occur only if the diverticulum bleeds, becomes infected, or causes an obstruction. These symptoms generally occur during the first few years of life, although they may not appear until adulthood. The bleeding, even when severe, is usually painless. An infection and blockage can cause mild to severe abdominal pain and discomfort.
Signs and symptoms may include
"
Medication Allergy,
Melanoma,
Melasma (Chloasma),
Ménière's Disease,"The cause of Ménière's disease is unknown. It tends to strike men and women equally, and although it can occur at any age, it usually begins between the ages of 30 and 50. In most cases, only one ear is affected. Only about 15 percent of people with Ménière's disease lose hearing in both ears.
The symptoms of Meniere's disease vary considerably from person to person. Some patients experience a cluster of attacks for a few weeks followed by years of relief, and other patients experience symptoms regularly for years.
A person with Ménière's disease may experience any or all of these symptoms:
"
Meningitis,"The symptoms of meningitis vary, but often include
Other symptoms may include
Symptoms may be milder in cases of viral meningitis, while in cases of bacterial meningitis, symptoms may come on quite suddenly. In very young children, symptoms may be particularly hard to detect. Babies with meningitis may be less active, vomit, refuse to eat, or be irritable. A person in later stages of bacterial meningitis may have seizures and lose consciousness (pass out).
"
Menopause And Perimenopause,
Mesothelioma,
Metastatic Brain Tumors,"The signs and symptoms of secondary brain tumors depend on their size and location. This is because different parts of the brain control different functions.
As a tumor grows, it can press against or destroy normal brain tissue. It can also increase pressure inside the skull.
Signs and symptoms of brain metastases include
These symptoms are not necessarily signs of brain metastases. But it is important to contact your doctor if you experience any of them.
Some people with metastatic brain tumors don't show any symptoms. However, over time, the brain metastases will continue to grow, eventually causing symptoms.
"
Mid-Menstrual Cycle Pain (Mittelschmerz),
Middle-Ear Infection (Otitis Media),"The most common symptoms of a middle-ear infection are pain and decreased hearing. Inside the middle ear, three tiny bones (ossicles) normally transfer sound vibrations from the eardrum to the inner ear, where they are turned into nerve impulses that your brain understands as sound. In people with otitis media, however, inflammation and infection may change this normal process. Other symptoms can include fever, headache, general body discomfort, rubbing or pulling of the ears in children, vomiting and diarrhea in infants, dizziness, loss of balance, and fluid draining from the ear.
"
Migraine,"A migraine usually is a throbbing headache that occurs on one or both sides of the head. The headache typically is accompanied by nausea, vomiting, or loss of appetite. Activity, bright light, or loud noises can make the headache worse, so someone having a migraine often seeks out a cool, dark, quiet place. Most migraines last from four to 12 hours, although they can be shorter or much longer. One unique feature of migraines is an unusual sensation that a migraine is about to occur. This sensation is called a prodrome. Prodrome symptoms can include fatigue, hunger, and nervousness. Migraines also have typical aftereffects, such as a feeling of exhaustion that lasts a day or two after a severe migraine headache has faded. Not all people who get migraines have prodromes or aftereffects.
Another unique feature of migraines is an aura. In a typical aura, a person suddenly will develop blurry or distorted vision or will see pulsating lights. These changes in vision will come and go over 15 to 30 minutes and alert someone that a headache is about to begin. Sometimes, auras affect the sense of hearing, smell, or taste. Only some people who get migraines have auras, and they don't accompany every headache. An aura also can occur without being followed by a headache. Rarely, migraines can cause unusual neurological symptoms such as dizziness, loss of vision, passing out, numbness, weakness, or tingling.
Migraines can be triggered by certain activities, foods, smells, or emotions. Some people are more likely to experience migraines when they are under stress, while others develop migraines when stress is relieved (for example, the day after exams or an important meeting). Women who have migraines often find that their headaches occur or worsen around the time of their menstrual periods.
"
Miscarriage,
Mitral Valve Prolapse,"Most people with mitral valve prolapse do not have any symptoms, and the condition is discovered only when a doctor hears a certain clicking sound with or without a heart murmur during a routine physical examination. In the past, mitral valve prolapse was blamed for symptoms such as chest pains, palpitations and lightheadedness. Although a person with mitral valve prolapse can also have these types of symptoms, mitral valve prolapse is not the cause.
People who have mitral regurgitation that continues to get worse can have symptoms of congestive heart failure (fatigue, shortness of breath, leg swelling).
"
Molar Pregnancy,
Moles (Nevi),"Moles can vary in color. They can be flesh-colored, yellow-brown or dark brown. They also can be flat or raised and can be smooth, hairy or warty. Although moles usually are harmless, in some cases they can become cancerous, causing a potentially deadly tumor called malignant melanoma. For this reason, it is important to monitor moles and have them examined by a dermatologist if they:
Moles called atypical moles, or dysplastic nevi, have somewhat different physical characteristics and sometimes run in families. They are more likely than common moles to turn into cancer. People with multiple dysplastic nevi and melanoma in two or more first-degree relatives have 25 times the risk of developing melanoma. This is called the dysplastic nevus-melanoma syndrome.
"
Molluscum Contagiosum,
Morton's Neuroma,
MRSA Skin Infection,"In cellulitis, the affected skin feels warm and is usually red, swollen, and painful. The redness can be slight or can stand out dramatically compared to the surrounding skin. The area of warmth can be felt with the back of the hand, especially when compared to surrounding skin. There may be a spreading network of red streaks in the skin, caused by infection in the vessels that carry lymph (tissue fluid), as well as enlarged lymph nodes (swollen glands) near the area of infection.

If you have blisters or pus on the surface of your skin rash, the cellulitis is more likely to be caused by MRSA.
Fever and a general feeling of sickness (malaise) often accompany cellulitis. Severe infections can cause abnormally low blood pressure if bacteria get into the bloodstream.
"
Multiple Myeloma,
Multiple Sclerosis,
Mumps,"In about 15% to 20% of patients, mumps does not cause any symptoms. When symptoms occur, they usually begin 14 to 18 days after exposure to someone with a mumps infection.
In about half of patients, symptoms of mumps infection may include fever, headache, sore throat, muscle aches, poor appetite and malaise (a general feeling of sickness). The mumps virus causes pain and swelling in front of the earlobe, called parotitis. Because of the pain of parotitis, chewing and swallowing may be very uncomfortable, and the patient may not feel like eating.
Infrequently, male teenagers and adults with mumps can develop swelling and pain in one or both testes (orchitis). In women, the ovaries may be involved, which can cause lower abdominal pain.
In patients of either sex, but more commonly in adults than in children, there also may be more serious complications including:
"
Muscle Strain,"Symptoms of muscle strain include:
"
Muscular Dystrophy,
Myasthenia Gravis,
Myelodysplastic Syndromes,
Myocarditis,
Myositis,
Nabothian Cysts,
Nail Trauma,
Narcolepsy,
Nasal Polyps,"The key symptoms of nasal polyps are:
"
Nausea,"Nausea is difficult for many people to describe. It is a very uncomfortable, but not painful, feeling that is felt in the back of the throat, the chest, or the upper abdomen. The feeling is associated with distaste for food or an urge to vomit. When the body prepares to vomit, the following sequence may occur:
When a person vomits, the stomach contents are expelled through the esophagus and mouth.
As a result of these body actions, when you have nausea you experience retching. Retching is repeated rhythmic contractions of respiratory and abdominal muscles that occur without your control. You may or may not vomit. Profuse sweating sometimes accompanies nausea.
"
Nearsightedness (Myopia),
Nephrectomy,
Neuroblastoma,
Neurofibromatosis,
Non-Hodgkin Lymphoma,
Non-Small Cell Lung Cancer,
Nosebleed (Epistaxis),"Nosebleeds usually involve one nostril, but occasionally both nostrils are involved. If one nostril becomes partially blocked with a blood clot, the blood might flow out the other nostril or down the back of the throat. In a posterior nosebleed (higher up in the nose), large amounts of blood typically flow down the back of the throat. The amount of bleeding from a nosebleed can vary with posterior bleeds usually bleeding significantly more.
"
Obesity,"The primary warning sign of obesity is an above-average body weight. If you are obese, you may also experience:
Obesity increases your risk for:
"
Obsessive-Compulsive Disorder (OCD),"The two defining symptoms of OCD are obsessive thoughts and compulsive actions. The symptoms are bad enough to be time-consuming, cause functional impairment or be significantly distressing.
Obsessions are persistent, repeated, anxiety-provoking or distressing thoughts that intrude into a person's consciousness. Obsessions vary and can relate to any kind of fear. Here are some common ones:
Often, an adult with OCD will recognize that the obsessive thoughts are not realistic and will try to ignore them or suppress them. Temporary relief may come by performing a compulsive action.
Compulsions are persistent, repetitive behaviors or mental acts. The goal is to reduce the anxiety caused by obsessive thoughts. The compulsions are not realistically connected to the source of anxiety. Examples include:
Anyone may feel compelled to recheck a locked door or wash hands to assure cleanliness. By themselves, such behaviors do not mean a person has OCD.
In OCD, the obsessions and compulsions are excessive and distressing. They are time-consuming, sometimes eating up several hours each day. They may interfere with personal relationships, as well as performance at work or school. Some compulsions may cause physical injury. For example, compulsive hand washing can lead to chapped hands and dermatitis, while excessive tooth brushing can cause torn, bleeding gums.
"
Onycholysis,"A nail that has lifted from its bed at its end can have an irregular border between the pink portion of the nail and the white outside edge of the nail. A greater portion of the nail is opaque, either whitened or discolored to yellow or green. Depending on the cause of onycholysis, the nail may have collected thickened skin underneath the edge of its nail plate, and the nail plate may have a deformed shape with pits or indentations in the nail surface, a bent nail edge or coarse thickening of the nail.
"
Optic Nerve Swelling (Papilledema),"Symptoms related to papilledema caused by increased pressure include headache and nausea with vomiting and a machinery-like sound. Twenty-five percent of people with advanced severe papilledema also will develop some visual symptoms. Typically, the visual changes are recurring brief episodes lasting less than 30 seconds in which the vision turns gray or black, sometimes described as if a veil has fallen over the eyes. The symptoms usually affect both eyes at once.
Visual blackouts often are triggered by a change in position, such as by standing up very suddenly, or they may be triggered by coughing or straining in the chest or abdomen. Occasionally, people with papilledema can have an experience of flashing lights, often seen in an arc shape. Other visual changes occur over time, including a smaller field of vision with a larger blind spot and, ultimately, blindness, if successful treatment is not given.
"
Oral Cancer,
Osgood-Schlatter Disease,"Symptoms of Osgood-Schlatter disease include:
The pain from Osgood-Schlatter disease can be a mild pain that lasts only while playing sports, or it can be a constant pain that severely limits regular participation in athletic activities. Pain can occur during stair climbing, kneeling, squatting or kicking. Pain usually appears in only one knee, although in about 20% to 30% of cases, both knees are affected.
"
Osteoarthritis,"Symptoms of osteoarthritis include:
People who have osteoarthritis often complain of a deep ache, centered in the joint. Typically, the pain is aggravated by using the joint and relieved by rest. However, as the disease worsens, the pain becomes more constant. Often, when the pain is significant during the night, it interferes with sleep.
"
Osteoporosis,"Most people with osteoporosis do not have any symptoms. They do not know they have osteoporosis until they have a bone density test or a fracture.
One early sign can be a loss of height caused by curvature or compression of the spine. Curvature or compression is caused by weakened vertebrae (spine bones). The weakened vertebrae develop tiny breaks called compression fractures.
Compression fractures cause the spine bones to collapse vertically. When this happens, the vertebrae become shorter. The shape of each single vertebra goes from a normal rectangle to a more triangular form.
Compression fractures can cause back pain or aching. But the loss of height usually does not cause any symptoms.

Osteoporosis usually does not cause pain unless a bone is fractured.
"
Osteosarcoma,
Ovarian Cancer,
Paget's Disease of Bone,
Pain,"Pain is the symptom. Acute pain often has a clear source and may be described as  sharp, radiating, stabbing or boring. Chronic pain is more persistent, lasting months or years, and it may or may not have an obvious source and more often described as throbbing or aching. In some cases, it is accompanied by numbness or tingling.
"
Painful Sexual Intercourse (Dyspareunia),"Women with dyspareunia may feel superficial pain at the entrance of the vagina, or deeper pain during penetration or thrusting of the penis. Some women also may experience severe tightening of the vaginal muscles during penetration, a condition called vaginismus.
"
Pancreatic Cancer,
Pancreatitis Overview,"The most common symptom of acute pancreatitis is upper abdominal pain. It can range from tolerable to severe.
Once the pain begins, it quickly reaches its maximum intensity, often within 30 minutes. In alcohol-induced pancreatitis, the pain tends to begin one to three days after a binge.
It may be difficult to find a comfortable position. Bending over or lying on your side may reduce the pain. Eating usually makes the pain worse.
Other symptoms of acute pancreatitis include
In severe cases, fever, difficulty breathing, weakness, and shock may develop.
The symptoms of chronic pancreatitis are similar but usually less severe. The pain can occur daily or off and on, and can be mild or intense. As the disease gets worse and more of the pancreas is destroyed, pain may actually become less severe. During an attack, the pain often is made worse by drinking alcohol or eating a large meal high in fats.
Because a damaged pancreas can't produce important digestive enzymes, people with chronic pancreatitis may develop problems with digesting and absorbing food and nutrients. This can lead to weight loss, vitamin deficiencies, diarrhea, and greasy, foul-smelling stools. Over time, a damaged pancreas can also fail to produce enough insulin, which results in diabetes.
"
Panic Disorders,"A panic attack is defined by having at least four of the following symptoms:
Between panic attacks, someone with panic disorder usually has persistent worries that a new attack will occur. These worries may cause the person to dramatically change his or her behavior or lifestyle to avoid the embarrassment of ""losing control"" while with other people.
"
Parathyroid Cancer,
Parkinson's Disease,"PD usually begins as a slight tremor or stiffness. It occurs in the arm or leg on one side of the body. The tremor is most obvious at rest. It is regular, typically occurring three to six times per second.
The PD tremor:
Usually worsens under stress
Improves when the arm or leg is moved voluntarily
May disappear entirely during sleep
At first, PD may be evident only as a tremor involving the thumb and index finger. It looks as if the person is manipulating a small object.
As the illness worsens, tremors may become more widespread. They eventually affect limbs on both sides of the body. Handwriting may become small, shaky and eventually illegible.
PD often causes stiffness or rigidity in the arms or legs. In addition, there is a slowing of body movements, called bradykinesia.
Rigidity and bradykinesia can be the most disabling aspects of the disease. They can impair the person's ability to walk. They can make it difficult to perform daily activities. These may include washing, dressing or using utensils.
Problems with unsteady balance and posture may make it hard to sit down in a chair, or to rise from one. Walking is accomplished with small, shuffling steps and a stooped posture.
Bradykinesia can affect the facial muscles. It can decrease spontaneous facial expressions and normal eye blinking.
Other symptoms of PD may include:
Depression
Anxiety
Disturbed sleep
Memory loss
Slurred or abnormally soft speech
Difficulty chewing or swallowing
Constipation
Impaired bladder control
Abnormal regulation of body temperature
Sexual dysfunction
Cramps, numbness, tingling or pain in the muscles
"
Paronychia,"An acute paronychia causes throbbing pain, redness, warmth and swelling in the skin around a nail. In some cases, a small collection of pus forms under the skin next to the nail, or underneath the nail itself. Often, only one nail is affected.
A chronic paronychia usually causes less dramatic symptoms than an acute paronychia. Typically, the area around the nail is tender, red and mildly swollen; the cuticle is missing; and the skin around the nail feels moist or ""boggy."" Several nails on the same hand may be affected at the same time.
"
Partial Seizures (Focal Seizures),
Pelvic Inflammatory Disease (PID),
Perforated Eardrum,"Symptoms of a perforated eardrum include:
The level of hearing loss depends on the size of the perforation and what caused it. Trauma to the ear or head can injure the middle ear, inner ear or both, and can cause severe hearing loss. If an explosion has torn the eardrum, you may have ringing in your ears (tinnitus) for several days, as well as hearing loss. If the perforated eardrum becomes infected, the hearing loss may worsen.
"
Pericarditis,"The classic symptoms of acute pericarditis are chest pain and fever. This chest pain can be either brief and sharp or steady and constricting. It is usually under the breastbone, but it also can spread to the neck or shoulders. In many patients, chest pain becomes more severe if they take a deep breath, swallow, cough, or lie down. Sitting up or leaning forward may relieve the pain.
Patients with cardiac tamponade can have low blood pressure and shortness of breath. Patients with constrictive pericarditis also can have breathing difficulties, together with edema (swelling) of the ankles, legs and abdomen.
"
Peripheral Arterial Disease,"The most common symptom of peripheral arterial disease is intermittent claudication – pain or cramping in the legs or buttocks that starts when you exercise and goes away when you rest. Often the pain is described as a deep ache, especially in the calf muscle. The pain may extend to the foot or up toward the thigh and buttock. Sometimes, there is just numbness in the leg or a sense that one leg gets tired when you walk. A foot or toes also may feel cold or numb.
If the arteries are severely narrowed, you could experience leg pain at rest, when you are not exercising. If blood flow stops completely (usually because a blood clot forms in the narrowed vessel), parts of the leg may become pale or turn blue, feel stone cold to the touch and eventually develop gangrene.
"
Peritonsillar Abscess,"Symptoms include:
"
