Disease,Symptoms
Nephrogenic diabetes insipidus,"You may have intense or uncontrollable thirst, and crave ice water.; You will produce large amounts of urine, usually more than 3 liters, and up to 15 liters per day. The urine is very dilute and looks almost like water. You may need to urinate every hour or even more, even during the night when you are not eating or drinking as much.; If you do not drink enough fluids, dehydration can result. Symptoms may include:; Other symptoms that can occur due to lack of fluids, causing dehydration, include:; Dry mucous membranes; Dry skin; Sunken appearance to eyes; Sunken fontanelles (soft spot) in infants; Changes in memory or balance; Fatigue, feeling weak; Headache; Irritability; Low body temperature; Muscle pain; Rapid heart rate; Weight loss; A change in alertness, and even coma"
Acute tubular necrosis,"Symptoms may include any of the following:; Decreased consciousness, coma, delirium or confusion, drowsiness, and lethargy; Decreased urine output or no urine output; General swelling, fluid retention; Nausea, vomiting"
Renal vein thrombosis,Symptoms may include:; Blood clot to the lung; Bloody urine; Decreased urine output; Flank pain or low back pain
Cystitis - noninfectious,"Common symptoms include:; Other symptoms may include:; Pressure or pain in the lower pelvis; Painful urination; Frequent need to urinate; Urgent need to urinate; Problems holding urine; Need to urinate at night; Abnormal urine color, cloudy urine; Blood in the urine; Foul or strong urine odor; Pain during sexual intercourse; Scrotum, penile, or vaginal pain; Fatigue"
Renal cell carcinoma,Symptoms of this cancer may include any of the following:; Abdominal pain and swelling; Back pain; Blood in the urine; Swelling of the veins around a testicle (varicocele); Flank pain; Weight loss; Fever; Liver dysfunction; Elevated erythrocyte sedimentation rate (ESR); Excessive hair growth in females; Pale skin; Vision problems
Testicular torsion,Symptoms include:; Additional symptoms that may be associated with this disease:; Sudden severe pain in one testicle. The pain may occur without a clear reason.; Swelling within one side of the scrotum (scrotal swelling).; Nausea or vomiting.; Testicle lump; Blood in the semen; Testicle pulled to a higher position in scrotum than normal (high riding)
Hydrocele,"The main symptom is a painless, round-oval shaped swollen scrotum, which feels like a water balloon. A hydrocele may occur on one or both sides. However, the right side is more commonly involved."
Prostatitis - bacterial,"Symptoms can start quickly, and can include:; Symptoms of chronic prostatitis are similar, but not as severe. They often begin more slowly. Some people have no symptoms between episodes of prostatitis.; Urinary symptoms include:; Other symptoms that may occur with this condition:; If prostatitis occurs with an infection in or around the testicles (epididymitis or orchitis), you may also have symptoms of that condition.; Chills; Fever; Flushing of the skin; Lower stomach tenderness; Body aches; Blood in the urine; Burning or pain with urination; Difficulty starting to urinate or emptying the bladder; Foul-smelling urine; Weak urine stream; Pain or aching in the abdomen above the pubic bone, in the lower back, in the area between the genitals and anus, or in the testicles; Pain with ejaculation or blood in the semen; Pain with bowel movements"
Asymptomatic bacteriuria,"There are no symptoms of this problem.; If you have these symptoms, you may have a urinary tract infection, but you do not have asymptomatic bacteriuria.; Burning during urination; Increased urgency to urinate; Increased frequency of urination"
Urinary tract infection - adults,"The symptoms of a bladder infection include:; If the infection spreads to your kidneys, symptoms may include:; Cloudy or bloody urine, which may have a foul or strong odor; Low grade fever in some people; Pain or burning with urination; Pressure or cramping in the lower abdomen or back; Strong need to urinate often, even right after the bladder has been emptied; Chills and shaking or night sweats; Fatigue and a general ill feeling; Fever above 101Â°F (38.3Â°C); Pain in the side, back, or groin; Flushed, warm, or reddened skin; Mental changes or confusion (in older people, these symptoms often are the only signs of a UTI); Nausea and vomiting; Severe abdominal pain (sometimes)"
Prostatitis - nonbacterial,Symptoms may include:; Blood in the semen; Blood in the urine; Pain in the genital area and lower back; Pain with bowel movements; Pain with ejaculation; Problems with urinating
Renal pelvis or ureter cancer,"Symptoms may include any of the following:; Constant back pain; Blood in the urine; Burning, pain, or discomfort with urination; Fatigue; Flank pain; Unexplained weight lossÂ; Loss of appetite; Anemia; Urinary frequency or urgency"
Cystitis - acute,"The symptoms of a bladder infection include:; Often in an older person, mental changes or confusion are the only signs of a possible infection.; Cloudy or bloody urine; Strong or foul-smelling urine; Low fever (most people will not have a fever); Pain or burning with urination; Pressure or cramping in the lower middle abdomen or back; Strong need to urinate often, even right after the bladder has been emptied"
Sickle cell disease,"Symptoms usually do not occur until after the age of 4 months.; Almost all people with sickle cell disease have painful episodes called crises. These can last from hours to days. Crises can cause pain in the lower back, leg, joints, and chest.; Some people have one episode every few years. Others have many episodes each year. The crises can be severe enough to require a hospital stay.; When sickle cell disease becomes more severe, symptoms may include:; Younger children with sickle cell disease have attacks of abdominal pain.; The following symptoms may occur because small blood vessels become blocked by the abnormal cells:; Over time, the spleen stops working. As a result, people with sickle cell disease may have symptoms of infections such as:; Other signs and symptoms include:; Fatigue; Paleness; Rapid heart rate; Shortness of breath; Yellowing of the eyes and skin (jaundice); Painful and prolonged erection (priapism); Poor eyesight or blindness; Problems with thinking or confusion caused by small strokes; Ulcers on the lower legs (in adolescents and adults); Bone infection (osteomyelitis); Gallbladder infection (cholecystitis); Lung infection (pneumonia); Urinary tract infection; Delayed growth and puberty; Painful joints caused by arthritis; Heart or liver failure due to too much iron (from blood transfusions)"
Glucose-6-phosphate dehydrogenase deficiency,People with this condition do not display any signs of the disease until their red blood cells are exposed to certain chemicals in food or medicine.; Symptoms are more common in men and may include:; Dark urine; Fever; Pain in abdomen; Enlarged spleen and liver; Fatigue; Pallor; Rapid heart rate; Shortness of breath; Yellow skin color (jaundice)
Hereditary spherocytic anemia,Infants may have yellowing of the skin and eyes (jaundice) and pale coloring (pallor).; Other symptoms may include:; Fatigue; Irritability; Shortness of breath; Weakness
Myelofibrosis,"Symptoms may include any of the following:; Abdominal fullness, pain, or feeling full before finishing a meal (because ofÂ an enlarged spleen); Bone pain; Easy bleeding, bruising; Fatigue; Increased likelihood of getting an infection; Pale skin; Shortness of breath with exercise; Weight loss; Night sweats; Low grade fever; Enlarged liver; Dry cough; Itchy skin"
Chronic lymphocytic leukemia (CLL),"Symptoms usually develop slowly. CLL often does not cause symptoms at first. It may be found by blood tests done in people for other reasons.; Symptoms of CLL may include:; Enlarged lymph nodes, liver, or spleen; Excessive sweating, night sweats; Fatigue; Fever; Infections that keep coming back (recur), despite treatment; Loss of appetite or becoming full too quickly (early satiety); Weight loss"
Primary amyloidosis,"Symptoms depend on the organs affected. This disease can affect many organs and tissues, including the tongue, intestines, skeletal and smooth muscles, nerves, skin, ligaments, heart, liver, spleen, kidneys, and bladder.; Symptoms may include any of the following:; Other symptoms that may occur with this disease:; Abnormal heart rhythm; Fatigue; Numbness of hands or feet; Shortness of breath; Skin changes; Swallowing problems; Swelling in the arms and legs; Swollen tongue; Weak hand grip; Weight loss or weight gain; Decreased urine output; Diarrhea; Hoarseness or changing voice; Joint pain; Weakness"
Paroxysmal nocturnal hemoglobinuria (PNH),"Symptoms may include:; Abdominal pain; Back pain; Blood clots, may form in some people; Dark urine, comes and goes; Easy bruising or bleeding; Headache; Shortness of breath; Weakness, fatigue; Pallor; Chest pain; Difficulty swallowing"
Immune thrombocytopenic purpura (ITP),"ITP symptoms can include any of the following:; Abnormally heavy periods in women; Bleeding into the skin, often around the shins, causing a skin rash that looks like pinpoint red spots (petechial rash); Easy bruising; Nosebleed or bleeding in the mouth"
Polycythemia - newborn,Symptoms may include:; Extreme sleepiness; Feeding problems; Seizures
Hemophilia,"The main symptom of hemophilia is bleeding. Hemophilia can be mild, moderate, or severe. Mild cases may not be detected until later in life, after excessive bleeding following surgery or an injury. Precautions may need to be taken before engaging in sports.; In the worst cases, bleeding occurs for no reason. Internal bleeding may occur anywhere and bleeding into joints is common."
Hemophilia A,"The severity of symptoms vary. Prolonged bleeding is the main symptom. It is often first seen when an infant is circumcised. Other bleeding problems usually show up when the infant starts crawling and walking.; Mild cases may go unnoticed until later in life. Symptoms may first occur after surgery or injury. Internal bleeding may occur anywhere.; Symptoms may include:; Bleeding into joints with associated pain and swelling; Blood in the urine or stool; Bruising; Gastrointestinal tract and urinary tract bleeding; Nosebleeds; Prolonged bleeding from cuts, tooth extraction, and surgery; Bleeding that starts without cause"
Hemophilia B,"Severity of symptoms can vary. Prolonged bleeding is the main symptom. It is often first seen when the infant is circumcised. Other bleeding problems usually show up when the infant starts crawling and walking.; Mild cases may go unnoticed until later in life. Symptoms may first occur after surgery or injury. Internal bleeding may occur anywhere.; Symptoms may include:; Bleeding into joints with associated pain and swelling; Blood in the urine or stool; Bruising; Gastrointestinal tract and urinary tract bleeding; Nosebleeds; Prolonged bleeding from cuts, tooth extraction, and surgery; Bleeding that starts without cause"
Cryoglobulinemia,"Symptoms will vary, depending on the type of disorder you have and the organs that are involved. Symptoms may include:; Breathing problems; Fatigue; Glomerulonephritis (kidney inflammation); Joint pain; Muscle pain; Purpura; Raynaud phenomenon; Skin death; Skin ulcers"
Acute lymphoblastic leukemia (ALL),"ALL makes a person more likely to bleed and develop infections. Symptoms include:; These symptoms can occur with other conditions. Talk to your health care provider about the meaning of specific symptoms.; Bone and joint pain; Easy bruising and bleeding (such as bleeding gums, skin bleeding, nosebleeds, abnormal periods); Feeling weak or tired; Fever; Loss of appetite and weight loss; Paleness; Pain or feeling of fullness below the ribs from an enlarged liver or spleen; Pinpoint red spots on the skin (petechiae); Swollen lymph nodes in the neck, under arms, and groin; Night sweats"
Acute myeloid leukemia - adult,Symptoms of AML are mainly due to the effects on blood elements. Symptoms of AML may include any of the following:; Bleeding from the nose; Bleeding and swelling (rare) in the gums; Bruising; Bone pain or tenderness; Fever and fatigue; Heavy menstrual periods; Pale skin; Shortness of breath (gets worse with exercise); Weight loss
Essential thrombocythemia,"Symptoms may include any of the following:; If bleeding is a problem, symptoms may include any of the following:; Headache (most common); Tingling, coldness, or blueness in the hands and feet; Feeling dizzy or lightheaded; Vision problems; Mini-strokes (transient ischemic attacks) or stroke; Easy bruising and nosebleeds; Bleeding from the gastrointestinal tract,Â respiratoryÂ system, urinary tract, or skin; Bleeding from the gums; Prolonged bleeding from surgical procedures or tooth removal"
Von Willebrand disease,Symptoms may include:; Note: Most women with heavy or prolonged menstrual bleeding do not have von Willebrand disease.; Abnormal menstrual bleeding; Bleeding of the gums; Bruising; Nosebleeds; Skin rash
Factor XII (Hageman factor) deficiency,There are usually no symptoms.
Acquired platelet function defect,"Symptoms may include any of the following:; Heavy menstrual periods or prolonged bleeding (more than 5 days each period); Abnormal vaginal bleeding; Blood in the urine; Bleeding under the skin; Bruising easily or pinpoint red spots on the skin; Gastrointestinal bleeding resulting in bloody, dark black, or tarry bowel movements; or vomiting blood or material that looks like coffee grounds; Nosebleeds"
Antiphospholipid syndrome - APS,"You may not have any symptoms, even though you have the antibodies. Symptoms that may occur include:; In rare cases, clots suddenly develop in many arteries over a period of days. This is called catastrophic anti-phospholipid syndrome (CAPS). It can lead to stroke as well as the clots in the kidney, liver, and other organs throughout the body, and gangrene in the limbs. CAPS has a high mortality rate, even with treatment.; Blood clots in the legs, arms or the lungs. The clots can be in either the veins or in the arteries.; Recurrent miscarriages or still birth.; Rash, in some people."
Factor VII deficiency,Symptoms may include any of the following:; Bleeding from mucus membranes; Bleeding into joints; Bleeding into muscles; Bruising easily; Heavy menstrual bleeding; Nosebleeds that do not stop easily; Umbilical cord bleeding after birth
Prothrombin deficiency,Symptoms may include any of the following:; Abnormal bleeding after childbirth; Heavy menstrual bleeding; Bleeding after surgery; Bleeding after trauma; Bruising easily; Nosebleeds that do not stop easily; Umbilical cord bleeding after birth
Factor V deficiency,Excessive bleeding with menstrual periods and after childbirth often occurs. Other symptoms can include:; Bleeding into the skin; Bleeding of the gums; Excessive bruising; Nosebleeds; Prolonged or excessive loss of blood with surgery or trauma; Umbilical stump bleeding
Folate-deficiency anemia,Symptoms may include:; Fatigue; Weakness; Headache; Pallor; Sore mouth and tongue
Thrombotic thrombocytopenic purpura,"Symptoms may include any of the following:; Bleeding into the skin or mucus membranes; Confusion; Fatigue, weakness; Fever; Headache; Pale skin color or yellowish skin color; Shortness of breath; Fast heart rate (over 100 beats per minute)"
Factor X deficiency,Symptoms may include any of the following:; Bleeding into the joints; Bleeding into the muscles; Bruising easily; Heavy menstrual bleeding; Mucus membrane bleeding; Nosebleeds that do not stop easily; Umbilical cord bleeding after birth
Aplastic anemia,"Symptoms are due to the underproduction of red cells, white cells, and platelets. Symptoms may be severe from the start or gradually worsen over time as the disease progresses.; Low red cell count (anemia) can cause:; Low white cell count (leukopenia) causes an increased risk for infection.; Low platelet count (thrombocytopenia) can result in bleeding. Symptoms include:; Fatigue; Pallor (paleness); Rapid heart rate; Shortness of breath with exercise; Weakness; Lightheadedness upon standing; Bleeding gums; Easy bruising; Nose bleeds; Rash, small pinpoint red marks on the skin (petechiae); Frequent or severe infections (less common)"
Drug-induced thrombocytopenia,Decreased platelets may cause:; Abnormal bleeding; Bleeding when you brush your teeth; Easy bruising; Pinpoint red spots on the skin (petechiae)
Paroxysmal cold hemoglobinuria (PCH),"Symptoms may include:; Chills; Fever; Back pain; Leg pain; Abdominal pain; Headache; General discomfort, uneasiness, or ill feeling (malaise); Blood in the urine (red urine)"
Congenital antithrombin III deficiency,"People will usually have symptoms of a blood clot. Blood clots in the arms or legs usually cause swelling, redness, and pain. When a blood clot breaks off from where it formed and travels to another part of the body, it is called a thromboembolism. Symptoms depend on where the blood clot travels to. A common place is the lung, where the clot can cause a cough, shortness of breath, pain while taking deep breaths, chest pain, and even death. Blood clots that travel to the brain can cause a stroke."
Congenital protein C or S deficiency,"If you have this condition, you are more likely to develop blood clots, especially at a younger age. The symptoms are the same as for deep vein thrombosis, and include:; Pain or tenderness in the affected area; Redness or swelling in the affected area"
Anemia,"You may have no symptoms if the anemia is mild or if the problem develops slowly. Symptoms that may occur first include:; If the anemia gets worse, symptoms may include:; Feeling weak or tired more often than usual, or with exercise; Headaches; Problems concentrating or thinking; Irritability; Loss of appetite; Numbness and tingling of hands and feet; Blue color to the whites of the eyes; Brittle nails; Desire to eat ice or other non-food things (pica syndrome); Lightheadedness when you stand up; Pale skin color; Shortness of breath with mild activity or even at rest; Sore or inflamed tongue; Mouth ulcers; Abnormal or increased menstrual bleeding"
Methemoglobinemia - acquired,
Methemoglobinemia,Symptoms of type 1 MetHb include:; Symptoms of type 2 MetHb include:; Symptoms of hemoglobin M disease include:; Symptoms of acquired MetHb include:; Bluish coloring of the skin (called cyanosis); Developmental delay; Failure to thrive; Intellectual disability; Seizures; Bluish coloring of the skin; Bluish coloring of the skin; Headache; Giddiness; Altered mental state; Fatigue; Shortness of breath; Lack of energy
Hereditary elliptocytosis,Symptoms may include:; Fatigue.; Shortness of breath.; Yellow skin and eyes (jaundice). This may continue for a long time in a newborn.
Gaucher disease,Bleeding because of low platelet count is the most common symptom seen in Gaucher disease. Other symptoms may include:; Bone pain and fractures; Cognitive impairment (decreased thinking ability); Easy bruising; Enlarged spleen; Enlarged liver; Fatigue; Heart valve problems; Lung disease (rare); Seizures; Severe swellingÂ at birth; Skin changes
Anemia of chronic disease,"Anemia of chronic disease is often mild. You may not notice any symptoms.; When symptoms occur, they may include:; Feeling weak or tired; Headache; Paleness; Shortness of breath"
Hereditary ovalocytosis,Newborn infants with hereditary ovalocytosis may have anemia and jaundice. Adults most often do not show symptoms.
Cytomegalovirus (CMV) infection,"Many people are exposed to CMV early in life, but do not realize it because they have no symptoms, or they have mild symptoms that resemble the common cold or flu. These may include:; CMV can cause infections in different parts of the body. Symptoms vary depending on the area that is affected. Examples of body areas that can be infected by CMV are:; Enlarged lymph nodes, especially in the neck; Fever; Fatigue; Loss of appetite; Malaise; Muscle aches; Rash; Sore throat; The lungs; The stomach or intestine; The back of the eye (retina); A baby while still in the womb (congenital CMV)"
Pernicious anemia,"Some people do not have symptoms. Symptoms may be mild.; They may include:; If you have a low vitamin B12 level for a long time, you can have nervous system damage. Symptoms may include:; Diarrhea or constipation; Nausea; Vomiting; Fatigue, lack of energy, or lightheadedness when standing up or with exertion; Loss of appetite; Pale skin (mild jaundice); Shortness of breath, mostly during exercise; Heartburn; Swollen, red tongue or bleeding gums; Confusion; Short-term memory loss; Depression; Loss of balance; Numbness and tingling in the hands and feet; Problems concentrating; Irritability; Hallucinations; Delusions; Optic nerve atrophy"
Chronic myelogenous leukemia (CML),"Chronic myelogenous leukemia is grouped into phases:; The chronic phase can last for months or years. The disease may have few or no symptoms during this time. Most people are diagnosed during this stage, when they have blood tests done for other reasons.; The accelerated phase is a more dangerous phase. Leukemia cells grow more quickly. Common symptoms include fever (even without infection), bone pain, and a swollen spleen.; Untreated CML leads to the blast crisis phase. Bleeding and infection may occur due to bone marrow failure.; Other possible symptoms of a blast crisis include:; Chronic; Accelerated; Blast crisis; Bruising; Excessive sweating (night sweats); Fatigue; Fever; Pressure under the lower left ribs from a swollen spleen; Rash -- small pinpoint red marks on the skin (petechiae); Weakness"
Hemolytic anemia,"You may not have symptoms if the anemia is mild. If the problem develops slowly, the first symptoms may be:; If the anemia gets worse, symptoms may include:; Feeling weak or tired more often than usual, or with exercise; Feelings that your heart is pounding or racing; Headaches; Problems concentrating or thinking; Lightheadedness when you stand up; Pale skin; Shortness of breath; Sore tongue; Left upper abdominal pain due to an enlarged spleen"
Hemoglobin C disease,"Most people do not have symptoms. In some cases, jaundice may occur. Some people may develop gallstones that need to be treated."
Disseminated intravascular coagulation (DIC),"Symptoms of DIC may include any of the following:; Bleeding, from many sites in the body; Blood clots; Bruising; Drop in blood pressure; Shortness of breath; Confusion, memory loss or change of behavior; Fever"
Vitamin B12 deficiency anemia,"You may not have symptoms. Symptoms may be mild.; Symptoms may include:; If you have low vitamin B12 level for a long time, it can cause nerve damage. Symptoms of nerve damage include:; Diarrhea or constipation; Fatigue, lack of energy, or lightheadedness when standing up or with exertion; Loss of appetite; Pale skin; Feeling irritable; Shortness of breath, mostly during exercise; Swollen, red tongue or bleeding gums; Numbness and tingling of hands and feet; Loss of balance; Problems concentrating; Confusion or change in mental status (dementia) in severe cases; Psychosis (losing contact with reality); Hallucinations"
Leukemoid reaction,
Immune hemolytic anemia,"You may not have symptoms if the anemia is mild. If the problem develops slowly, symptoms that may occur first include:; If the anemia gets worse, symptoms may include:; Feeling weak or tired more often than usual, or with exercise; Headaches; Problems concentrating or thinking; Lightheadedness when you stand up; Pale skin color (pallor); Shortness of breath; Sore tongue"
Fibrinolysis - primary or secondary,
Drug-induced immune hemolytic anemia,Symptoms may include any of the following:; Dark urine; Fatigue; Pale skin color; Rapid heart rate; Shortness of breath; Yellow skin and whites of the eyes (jaundice)
Hodgkin lymphoma,"The first sign of Hodgkin lymphoma is often a painless swollen lymph node that appears without a known cause. The disease can spread to nearby lymph nodes. Later it may spread to the spleen, liver, bone marrow, or other organs.; Symptoms may include any of the following:; Other symptoms that may occur with this disease:; Symptoms caused by Hodgkin lymphoma may occur with other conditions. Talk to your health care provider about the meaning of your specific symptoms.; Feeling very tired all the time; Fever and chills that come and go; Itching all over the body that cannot be explained; Loss of appetite; Drenching night sweats; Painless swelling of the lymph nodes in the neck, armpits, or groin (swollen glands); Weight loss that cannot be explained; Coughing, chest pains, or breathing problems if there are swollen lymph nodes in the chest; Excessive sweating; Pain or feeling of fullness below the ribs due to swollen spleen or liver; Pain in lymph nodes after drinking alcohol; Skin blushing or flushing"
Non-Hodgkin lymphoma,"Symptoms depend on what area of the body is affected by the cancer and how fast the cancer is growing.; Symptoms may include:; Night sweats; Fever and chills that come and go; Itching; Swollen lymph nodes in the neck, underarms, groin, or other areas; Weight loss; Coughing or shortness of breath if the cancer affects the thymus gland or lymph nodes in the chest, putting pressure on the windpipe (trachea) or its branches; Abdominal pain or swelling, leading to loss of appetite, constipation, nausea, and vomiting; Headache, concentration problems, personality changes, or seizures if the cancer affects the brain"
Congenital platelet function defects,Symptoms may include any of the following:; Excessive bleeding during and after surgery; Bleeding gums; Easy bruising or pinpoint red spots on the skin; Heavy menstrual periods; Nosebleeds; Prolonged bleeding with small injuries
Multiple myeloma,"Multiple myeloma most commonly causes:; As the cancer cells grow in the bone marrow, you may have bone pain, most often in the ribs or back.; The cancer cells can weaken bones. As a result:; Low red blood cell count (anemia), which can lead to fatigue and shortness of breath; Low white blood cell count, which makes you more likely to get infections; Low platelet count, which can lead to abnormal bleeding; You may develop broken bones (bone fractures) just from doing normal activities.; If cancer grows in the spine bones, it can press on the nerves. This can lead to numbness or weakness of the arms or legs.; Frequent infections may occur."
Iron deficiency anemia,"You may have no symptoms if the anemia is mild.; Most of the time, symptoms are mild at first and develop slowly. Symptoms may include:; As the anemia gets worse, symptoms may include:; Symptoms of the conditions associated with bleeding that cause iron deficiency anemia include:; Feeling weak or tired more often than usual, or with exercise; Headaches; Dizziness; Palpitations; Problems concentrating or thinking; Brittle nails; Blue color to the whites of the eye; Desire to eat ice or other non-food things (pica); Feeling lightheaded when you stand up; Pale skin color; Shortness of breath; Sore or inflamed tongue; Mouth ulcers; Uncontrolled movement of legs (during sleep); Hair loss; Dark, tar-colored stools or blood in the stool; Heavy menstrual bleeding; Pain in the upper belly (from ulcers)"
Secondary systemic amyloidosis,"Symptoms of secondary systemic amyloidosis depend on which body tissue is affected by the protein deposits. These deposits damage normal tissues. This may lead to the symptoms or signs of this illness, including:; Bleeding in the skin; Fatigue; Irregular heartbeat; Numbness of hands and feet; Rash; Shortness of breath; Swallowing difficulties; Swollen arms or legs; Swollen tongue; Weak hand grip; Weight loss"
Thrombocytopenia,"You may not have any symptoms. Or you may have general symptoms, such as:; Other symptoms depend on the cause.; Bleeding in the mouth and gums; Bruising; Nosebleeds; Rash"
Thalassemia,"The most severe form of alpha thalassemia major causes stillbirth (death of the unborn baby during birth or the late stages of pregnancy).; Children born with beta thalassemia major (Cooley anemia) are normal at birth, but develop severe anemia during the first year of life.; Other symptoms can include:; People with the minor form of alpha and beta thalassemia have small red blood cells but no symptoms.; Bone deformities in the face; Fatigue; Growth failure; Shortness of breath; Yellow skin (jaundice)"
Waldenstrom macroglobulinemia,"Symptoms of WM may include any of the following:; Bleeding of the gums and nosebleeds; Blurred or decreased vision; Bluish skin in the fingers after cold exposure; Dizziness or confusion; Easy bruising of the skin; Fatigue; Diarrhea; Numbness, tingling, or burning pain in the hands, feet, fingers, toes, ears, or nose; Rash; Swollen glands; Unintentional weight loss; Vision loss in one eye"
Polycythemia vera,"In people with PV, there are too many red blood cells in the blood. This results in thicker blood, which can't flow through small blood vessels normally, leading to symptoms such as:; Trouble breathing when lying down; Dizziness; Feeling tired all the time; Full feeling in the left upper abdomen (due to enlarged spleen); Headache; Itchiness, especially after a warm bath; Red skin coloring, especially of the face; Shortness of breath; Symptoms of blood clots in veins near the skin surface (phlebitis); Vision problems; Ringing in the ears (tinnitus); Joint pain"
Hemolytic anemia caused by chemicals and toxins,
Mononucleosis,"Mono may begin slowly with fatigue, a general ill feeling, headache, and sore throat. The sore throat slowly gets worse. Your tonsils become swollen and develop a whitish-yellow covering. Often, the lymph nodes in the neck are swollen and painful.; A pink, measles-like rash can occur, and is more likely if you take the medicine ampicillin or amoxicillin for a throat infection. (Antibiotics should typically not given without a test that shows you have a strep infection.); Common symptoms of mono include:; Less common symptoms are:; Drowsiness; Fever; General discomfort, uneasiness, or ill feeling; Loss of appetite; Muscle aches or stiffness; Rash; Sore throat; Swollen lymph nodes, most often in the neck and armpit; Chest pain; Cough; Fatigue; Headache; Hives; Jaundice (yellow color to the skin and whites of the eyes); Neck stiffness; Nosebleed; Rapid heart rate; Sensitivity to light; Shortness of breath"
Hairy cell leukemia,Symptoms of HCL may include any of the following:; Easy bruisingÂ or bleeding; Heavy sweating (especially at night); Fatigue and weakness; Feeling full after eating only a small amount; Recurrent infections and fevers; Pain or fullness in the upper left belly (enlarged spleen); Swollen lymph glands; Weight loss
Peripheral neuropathy,"Symptoms depend on which nerve is damaged, and whether the damage affectsÂ one nerve, several nerves, or the whole body.; PAIN AND NUMBNESS; Tingling or burning in the arms and legs may be an early sign of nerve damage. These feelings often start in your toes and feet. You may have deep pain. This often happens in the feet and legs.; You may lose feeling in your legs and arms. Because of this, you may not notice when you step on something sharp. You may not notice when youÂ touch something that is too hot or cold, like the water in a bathtub. You may not know when you have a small blister or sore on your feet.; Numbness may make it harder to tell where your feet are moving and can cause a loss of balance.; MUSCLE PROBLEMS; Damage to the nerves can make it harder to control muscles. It can also cause weakness. You may notice problems moving a part of your body. You may fall because your legs buckle. You may trip over your toes.; Doing tasks such as buttoning a shirt may be harder. You may also notice that your muscles twitch or cramp. Your muscles may become smaller.; PROBLEMS WITH BODY ORGANS; People with nerve damage may have problems digesting food. You may feel full or bloated and have heartburn after eating only a little food. Sometimes, you may vomit food that has not been digested well. You may have either loose stools or hard stools. Some people have problems swallowing.; Damage to the nerves to your heart may cause you to feel lightheaded, or faint, when you stand up.; Angina is the warning chest pain for some heart diseases and heart attack. Nerve damage may hide this warning sign. You should learn other warning signs of a heart attack. They are sudden fatigue, sweating, shortness of breath, nausea, and vomiting.; OTHER SYMPTOMS OF NERVE DAMAGE; Sexual problems. Men may have problems with erections. Women may have trouble with vaginal dryness or orgasm.; Some people may not be able to tell when their blood sugar gets too low.; Bladder problems. You may leak urine. You may not be able to tell when your bladder is full. Some people are not able to empty their bladder.; You may sweat too little or too much. This may cause problems controlling your body temperature."
Choroidal dystrophies,
Plague,"There are three types of plague: bubonic, septicemic, and pneumonic.; Bubonic plague is an infection of the lymph nodes. It is the most common type of plague in the United States. Flea bites are usually the cause. Bubonic plague symptoms appear suddenly, usually 2 to 8 days after exposure to the bacteria. Symptoms include:; Septicemic plague is an infection of the blood. It may occur from a flea bite or from handling an infected animal. It can also occur from untreated bubonic plague. Septicemic plague may cause death even before severe symptoms occur. Symptoms can include:; Pneumonic plague is an infection of the lungs. This is the most serious form and is what can cause epidemics to occur. It can occur from inhaling respiratory droplets from an infected human or animal (cat). It is the only type that spreads between humans. Untreated bubonic or septicemic plague can also develop into pneumonic plague when bacteria spread to the lungs.; Pneumonic plague symptoms appear suddenly, typically 1 to 3 days after exposure. Pneumonia develops rapidly and symptoms include:; Human-to-human transmission of plague has not occurred in the United States since 1925.; Fever and chills; General ill feeling (malaise); Headache; Muscle pain; Seizures; Smooth, painful lymph gland swelling called buboes that are commonly found in the groin, but may occur in the armpits or neck, most often at the site of the infection (flea bite or animal scratch). Pain may start before the swelling appears; Abdominal pain; Bleeding due to blood clotting problems; Diarrhea; Fever; Nausea, vomiting; Extreme weakness; Shock; Bleeding into the skin and organs; Tissue death (skin turns black and dies) on fingers, toes, and nose.; Severe cough; Difficulty breathing and pain in the chest when breathing deeply; Weakness; Fever and chills; Headache; Frothy, bloody sputum; Respiratory failure; Shock"
Brucellosis,"Acute brucellosis may begin with mild flu-like symptoms, or symptoms such as:; High fever spikes often occur every afternoon. The name undulant fever is often used to describe this disease because the fever rises and falls in waves.; The illness may be chronic and last for years.; Abdominal pain; Back pain; Fever and chills; Excessive sweating; Fatigue; Headache; Joint and muscle pain; Loss of appetite; Swollen glands; Weakness; Weight loss"
Botulism,"Symptoms often appear 8 to 36 hours after you eat food contaminated with the toxin. There is no fever with this infection.; In adults, symptoms may include:; Symptoms in infants may include:; Abdominal cramps; Breathing difficulty that may lead to respiratory failure; Difficulty swallowing and speaking; Double vision; Nausea; Vomiting; Weakness with paralysis (equal on both sides of the body); Constipation; Drooling; Poor feeding and weak sucking; Respiratory distress; Weak cry; Weakness, loss of muscle tone"
Actinomycosis,"Symptoms may include any of the following:; Draining sores in the skin, especially on the chest wall from lung infection with Actinomyces; Fever; Mild or no pain; Swelling or a hard, red to reddish-purple lump on the face or upper neck; Weight loss"
Epiglottitis,"Epiglottitis begins with a high fever and sore throat. Other symptoms may include:; The airways can become totally blocked, which can result in cardiac arrest and death.; Abnormal breathing sounds (stridor); Fever; Blue skin color (cyanosis); Drooling; Difficulty breathing (the person may need to sit upright and lean slightly forward to breathe); Difficulty swallowing; Voice changes (hoarseness)"
