id,disease,Symptoms,When to see a doctor,Causes,Risk factors,Complications,Prevention
1335,Meralgia paresthetica,"Meralgia paresthetica may cause these symptoms in the outer part of the thigh:
Tingling.
Burning pain.
Decreased feeling or numbness.
Increased sensitivity and pain to even a light touch.
These symptoms commonly occur on one side of your body and might intensify after walking or standing.",,"In most people, this nerve passes through the groin to the upper thigh without trouble. But in meralgia paresthetica, the lateral femoral cutaneous nerve becomes trapped. Often the inguinal ligament pinches the nerve. This ligament runs along the groin from the stomach to the upper thigh.
Tight clothing, such as belts, corsets and tight pants.
Obesity or weight gain.
Wearing a heavy tool belt.
Pregnancy.
Scar tissue near the inguinal ligament due to injury or past surgery.
Nerve injury also can cause meralgia paresthetica. Nerve injury can be due to diabetes, trauma after surgery or seat belt injury after a motor vehicle accident.","The following might increase your risk of meralgia paresthetica:
Diabetes.Diabetes-related nerve injury can lead to meralgia paresthetica.
Age.People between ages 30 and 60 are at a higher risk.",,
1336,Merkel cell carcinoma,"The first symptom of Merkel cell carcinoma most often is a growth on the skin. This skin cancer can happen anywhere on the body. It happens most often on skin that typically gets sunlight. In white people, the growth is most likely to be on the head or neck. In Black people, the growth more often is on the legs.
A Merkel cell carcinoma can cause:
A bump on the skin that often is painless.
A bump that grows quickly.
A bump whose two sides don't match.
A bump that looks pink, purple, red-brown, or the same color as the skin around it.","Make an appointment with a healthcare professional if you have a mole, freckle or bump that changes size, shape or color. Also see a healthcare professional if you have a bump that grows fast or bleeds easily after minor injury, such as washing your skin or shaving.","It's often not clear what causes Merkel cell carcinoma.
This skin cancer happens when cells in the skin develop changes in their DNA. A cell's DNA holds the instructions that tell the cell what to do. In healthy cells, the DNA gives instructions to grow and multiply at a set rate. The instructions tell the cells to die at a set time.
In cancer cells, the DNA changes give other instructions. The changes tell the cancer cells to grow and multiply at a fast rate. Cancer cells can keep living when healthy cells would die. This causes too many cells.
The cancer cells might form a mass called a tumor. The tumor can grow to invade and destroy healthy body tissue. In time, cancer cells can break away and spread to other parts of the body. When cancer spreads, it's called metastatic cancer.","Factors that may raise the risk of Merkel cell carcinoma include:
Skin that sunburns easily.Anyone of any skin color can get Merkel cell carcinoma. But it's more common in people who have less melanin in their skin. Melanin is a substance that gives color to skin. It also helps protect the skin from damaging rays from the sun.People with Black or brown skin have more melanin than do people with white skin. So white people are more likely to get Merkel cell carcinoma than are people with Black or brown skin.
Too much UV light.Ultraviolet light, also called UV light, raises the risk of Merkel cell carcinoma. UV light can come from the sun. Being in the sun without covering the skin with clothing or sunblock raises the risk of Merkel cell carcinoma. UV light for treatment of the skin condition psoriasis also can raise the risk of this skin cancer.
Tanning bed use.People who use indoor tanning beds have a higher risk of Merkel cell carcinoma.
A weakened immune system.People with weakened immune systems are more likely to get Merkel cell carcinoma. A weakened immune system can happen in people with certain health conditions, such as HIV infection and chronic leukemia. It also can happen in people taking certain medicines, such as medicines that lower the immune response.
History of other skin cancers.Merkel cell carcinoma is linked to other skin cancers, such as basal cell carcinoma and squamous cell carcinoma.
Older age.The risk of Merkel cell carcinoma goes up with age. This cancer is most common in people older than age 50, though it can happen at any age.","Even with treatment, Merkel cell carcinoma often spreads to other parts of the body. When cancer spreads, healthcare professionals sometimes say it metastasizes. Merkel cell carcinoma tends to travel first to nearby lymph nodes.
Later it may spread to the brain, bones, liver or lungs. It can keep these organs from working as they should. Cancer that spreads is harder to treat and can be fatal.",Try to:
1338,Mesenteric lymphadenitis,"Possible symptoms of mesenteric lymphadenitis include:
Pain in the stomach area, often on the lower right side, but the pain can be more spread out.
General tenderness of the stomach area.
Fever.
Enlarged mesenteric lymph nodes.
Depending on what's causing the condition, symptoms also might include:
Diarrhea.
Nausea and vomiting.","Pain in the stomach area is common in children and teens. So it can be hard to know when to seek medical advice.
Call a healthcare professional right away for a child who has:
Sudden, severe pain in the stomach area.
Stomach area pain with fever.
Stomach area pain with diarrhea or vomiting.
Tenderness to touch of the stomach area.
Bloody or maroon-colored stool.
Also, call a healthcare provider for a child who has pain in the stomach area that doesn't get better in a short time and who also:
Has a change in bowel habits.
Has a loss of appetite.
Is not able to sleep.","The most common cause of mesenteric lymphadenitis is a viral infection, such as gastroenteritis. Gastroenteritis is often called stomach flu. This infection causes inflammation and swelling in the lymph nodes in the thin tissue that attaches the intestine to the back of the wall around the stomach area, called mesentery.
Other causes of mesenteric lymphadenitis include bacterial infection, inflammatory bowel disease and lymphoma.","Any infection that causes inflammation and swelling in the lymph nodes in the tissue that attaches the bowel to the abdominal wall increases the risk of mesenteric lymphadenitis.
Conditions that raise the risk of mesenteric lymphadenitis include:
Viral or bacterial gastroenteritis.
Inflammatory bowel disease.
Lymphoma.",,
1339,Mesothelioma,"Signs and symptoms of mesothelioma depend on where the cancer starts.
Pleural mesotheliomaaffects the tissue around the lungs. Symptoms may include:
Chest pain.
Painful coughing.
Shortness of breath.
Lumps under the skin on the chest.
Tiredness.
Weight loss without trying.
Peritoneal mesotheliomaaffects tissue in the belly. Symptoms may include:
Belly pain.
Belly swelling.
Nausea.
Tiredness.
Weight loss without trying.
Other types of mesotheliomaare very rare. Not as much is known about these other types.
Pericardial mesothelioma affects tissue around the heart. It may cause trouble breathing and chest pains.
Mesothelioma of tunica vaginalis affects tissue around the testicles. It may first appear as swelling or a mass on a testicle.",Make an appointment with a doctor or other healthcare professional if you have any symptoms that worry you.,"Mesothelioma is a cancer that starts as a growth of cells in the mesothelium. The mesothelium is a thin layer of tissue that covers many internal organs.
Mesothelioma happens when cells in the mesothelium develop changes in their DNA. A cell's DNA holds the instructions that tell the cell what to do. In healthy cells, the DNA gives instructions to grow and multiply at a set rate. The instructions tell the cells to die at a set time.
In cancer cells, the DNA changes give other instructions. The DNA changes tell the cancer cells to make more cells quickly. Cancer cells can keep living when healthy cells would die. This causes too many cells.
The cancer cells might form a mass called a tumor. The tumor can grow to invade and destroy healthy body tissue. In time, cancer cells can break away and spread to other parts of the body. When cancer spreads, it's called metastatic cancer.","Being around asbestos is the biggest risk factor for mesothelioma. Asbestos is a natural mineral. Asbestos fibers are strong, and they resist heat. This makes them useful in many ways. Asbestos gets used in insulation, brakes, shingles, flooring and many other products.
Mining asbestos or removing asbestos insulation breaks up the mineral. This may create dust. If people breathe in or swallow the dust, the asbestos fibers settle in the lungs or in the stomach. This may lead to mesothelioma.
Most people who have been around asbestos don't get mesothelioma. So other factors may be involved. For instance, it could run in families, or some other condition could raise the risk.
Factors that may raise the risk of mesothelioma include:
Living with someone who works with asbestos.People who work with asbestos may carry the fibers home on their skin and clothing. Over many years, these fibers can put others in the home at risk of mesothelioma.
A family history of mesothelioma.If your parent, sibling or child has mesothelioma, you may have a higher risk of this disease.
Radiation therapy to the chest.If you had radiation therapy to your chest for cancer, you might have a higher risk of mesothelioma.","Trouble breathing.
Chest pain.
Trouble swallowing.",
1340,Nonalcoholic fatty liver disease,"NAFLDoften has no symptoms. When it does, they may include:
Fatigue.
Not feeling well, or malaise.
Pain or discomfort in the upper right belly area.
Possible symptoms ofNASHand cirrhosis, or severe scarring, include:
Itchy skin.
Abdominal swelling, also called ascites (uh-SY-teez).
Shortness of breath.
Swelling of the legs.
Spider-like blood vessels just beneath the skin's surface.
Enlarged spleen.
Red palms.
Yellowing of the skin and eyes, or jaundice.",Make an appointment with a member of your health care team if you have lasting symptoms that worry you.,"NAFLDandNASHare both linked to the following:
Genetics.
Overweight or obesity.
Insulin resistance, which happens when your cells don't take up sugar in response to the hormone insulin.
Type 2 diabetes, sometimes called high blood sugar or hyperglycemia.
High levels of fats, especially triglycerides, in the blood.
These combined health problems may contribute to a fatty liver. However, some people getNAFLDeven if they do not have any risk factors.","Many diseases and health problems can increase your risk ofNAFLD, including:
Family history of fatty liver disease or obesity.
Growth hormone deficiency, which means the body doesn't make enough hormones to grow.
High cholesterol.
High levels of triglycerides in the blood.
Insulin resistance.
Metabolic syndrome.
Obesity, especially when fat is centered in the waist.
Polycystic ovary syndrome.
Obstructive sleep apnea.
Type 2 diabetes.
Underactive thyroid, also called hypothyroidism.
Underactive pituitary gland, or hypopituitarism.
NASHis more likely in these groups:
People older than 50.
People with certain genetic risk factors.
People with obesity.
People with diabetes or high blood sugar.
It is hard to tell apartNAFLDfromNASHwithout a clinical evaluation and testing.","Severe liver scarring, or cirrhosis, is the main complication ofNAFLDandNASH. Cirrhosis happens because of liver injury, such as the damage caused by inflammation inNASH. As the liver tries to stop inflammation, it creates areas of scarring, also called fibrosis. With ongoing inflammation, fibrosis spreads and takes up more liver tissue.
If nothing is done to stop the scarring, cirrhosis can lead to:
Fluid buildup in the stomach area, called ascites.
Swollen veins in your esophagus, or esophageal varices, which can rupture and bleed.
Confusion, sleepiness and slurred speech, also called hepatic encephalopathy.
Overactive spleen, or hypersplenism, which can cause too few blood platelets.
Liver cancer.
End-stage liver failure, which means the liver has stopped working.","To reduce your risk ofNAFLD:
Eat a healthy diet.Eat a healthy diet that's rich in fruits, vegetables, whole grains and healthy fats.
Limit alcohol, simple sugars and portion sizes.Avoid sugary drinks like soda, sports drinks, juices and sweet tea. Drinking alcohol can damage your liver and should be avoided or minimized."
1341,Nonalcoholic fatty liver disease,"NAFLDoften has no symptoms. When it does, they may include:
Fatigue.
Not feeling well, or malaise.
Pain or discomfort in the upper right belly area.
Possible symptoms ofNASHand cirrhosis, or severe scarring, include:
Itchy skin.
Abdominal swelling, also called ascites (uh-SY-teez).
Shortness of breath.
Swelling of the legs.
Spider-like blood vessels just beneath the skin's surface.
Enlarged spleen.
Red palms.
Yellowing of the skin and eyes, or jaundice.",Make an appointment with a member of your health care team if you have lasting symptoms that worry you.,"NAFLDandNASHare both linked to the following:
Genetics.
Overweight or obesity.
Insulin resistance, which happens when your cells don't take up sugar in response to the hormone insulin.
Type 2 diabetes, sometimes called high blood sugar or hyperglycemia.
High levels of fats, especially triglycerides, in the blood.
These combined health problems may contribute to a fatty liver. However, some people getNAFLDeven if they do not have any risk factors.","Many diseases and health problems can increase your risk ofNAFLD, including:
Family history of fatty liver disease or obesity.
Growth hormone deficiency, which means the body doesn't make enough hormones to grow.
High cholesterol.
High levels of triglycerides in the blood.
Insulin resistance.
Metabolic syndrome.
Obesity, especially when fat is centered in the waist.
Polycystic ovary syndrome.
Obstructive sleep apnea.
Type 2 diabetes.
Underactive thyroid, also called hypothyroidism.
Underactive pituitary gland, or hypopituitarism.
NASHis more likely in these groups:
People older than 50.
People with certain genetic risk factors.
People with obesity.
People with diabetes or high blood sugar.
It is hard to tell apartNAFLDfromNASHwithout a clinical evaluation and testing.","Severe liver scarring, or cirrhosis, is the main complication ofNAFLDandNASH. Cirrhosis happens because of liver injury, such as the damage caused by inflammation inNASH. As the liver tries to stop inflammation, it creates areas of scarring, also called fibrosis. With ongoing inflammation, fibrosis spreads and takes up more liver tissue.
If nothing is done to stop the scarring, cirrhosis can lead to:
Fluid buildup in the stomach area, called ascites.
Swollen veins in your esophagus, or esophageal varices, which can rupture and bleed.
Confusion, sleepiness and slurred speech, also called hepatic encephalopathy.
Overactive spleen, or hypersplenism, which can cause too few blood platelets.
Liver cancer.
End-stage liver failure, which means the liver has stopped working.","To reduce your risk ofNAFLD:
Eat a healthy diet.Eat a healthy diet that's rich in fruits, vegetables, whole grains and healthy fats.
Limit alcohol, simple sugars and portion sizes.Avoid sugary drinks like soda, sports drinks, juices and sweet tea. Drinking alcohol can damage your liver and should be avoided or minimized."
1342,Metabolic syndrome,"A large waist size can point to metabolic syndrome. Also, people with high blood sugar might notice symptoms of diabetes. These include being thirstier than usual, urinating more than usual, being tired and having blurred vision.",,"Metabolic syndrome is closely linked to overweight or obesity and inactivity.
It's also linked to a condition called insulin resistance. Usually, the digestive system breaks down foods into sugar. The pancreas makes the hormone insulin. And insulin helps sugar enter cells to be used as fuel.","The following can increase the chances of having metabolic syndrome:
Risk of metabolic syndrome goes up with age.
In the United States, people who are Hispanic appear to be at the greatest risk of developing metabolic syndrome.
Carrying too much weight, especially around the stomach, increases the risk of metabolic syndrome.
People who had diabetes during pregnancy, also known as gestational diabetes, are at greater risk of metabolic syndrome. That's also true of people who have a family history of type 2 diabetes.
Other conditions linked to metabolic syndrome include steatotic liver disease, polycystic ovary syndrome and sleep apnea.
People who eat an unhealthy diet and don't get enough physical activity are at higher risk of metabolic syndrome.","Having metabolic syndrome can increase the risk of:
Not staying at a healthy weight can lead to insulin resistance. Insulin resistance can cause blood sugar to rise. Over time, insulin resistance can lead to type 2 diabetes.","Living a healthy lifestyle might prevent the conditions that cause metabolic syndrome. A healthy lifestyle includes:
Getting at least 30 minutes of physical activity most days.
Eating plenty of vegetables, fruits, lean protein and whole grains.
Limiting saturated fat, sugar and salt in the diet.
Being at a healthy weight.
Not smoking."
1343,Metachromatic leukodystrophy,"Damage to the protective myelin covering the nerves results in progressive worsening of brain and nervous system functions, including:
Loss of the ability to detect sensations, such as touch, pain, heat and sound
Loss of intellectual, thinking and memory skills
Loss of motor skills, such as walking, moving, speaking and swallowing
Stiff, rigid muscles, poor muscle function and paralysis
Loss of bladder and bowel function
Gallbladder problems
Blindness
Hearing loss
Seizures
Emotional and behavioral problems, including unstable emotions and substance misuse
Each form of metachromatic leukodystrophy occurs at a different age and can have different initial signs and symptoms and rates of progression:
Late infantile form.This is the most common form of metachromatic leukodystrophy, starting around 2 years of age or younger. Progressive loss of speech and muscle function occurs rapidly. Children with this form often do not survive beyond childhood.
Juvenile form.This is the second most common form and starts in children between 3 and 16 years of age. Early signs are behavior and cognitive problems and increasing difficulty in school. Loss of the ability to walk may occur. Although the juvenile form doesn't progress as fast as the late infantile form, survival is generally less than 20 years after symptoms begin.
Adult form.This form is less common and typically starts after age 16. Signs progress slowly and may begin with behavior and psychiatric problems, drug and alcohol misuse, and issues with school and work. Psychotic symptoms such as delusions and hallucinations may occur. The course of this form varies, with periods of stable symptoms and periods of rapid decline in functioning. Adults may survive for several decades after initial symptoms.",Talk to your doctor if you observe any signs listed above or if you have concerns about your own signs or symptoms.,"The most common cause of metachromatic leukodystrophy is a mutation in the ARSA gene. This mutation results in a lack of the enzyme that breaks down lipids called sulfatides that build up in the myelin.
Rarely, metachromatic leukodystrophy is caused by a deficiency in another kind of protein (activator protein) that breaks down sulfatides. This is caused by a mutation in the PSAP gene.",,,
1344,Metastatic prostate cancer,"Metastatic prostate cancer doesn't always cause symptoms. As the cancer grows and becomes more advanced, symptoms might happen. Signs and symptoms of metastatic prostate cancer can include:
Feeling very tired.
Having to urinate more often or feeling pain when urinating.
Losing weight without trying.
Nausea and vomiting.
Pain, which might be felt in the back, hips, pelvic area or in a bone. The pain tends to get worse over time.","Make an appointment with a doctor or other healthcare professional if you have any symptoms that worry you. If you've been treated for prostate cancer in the past, tell your healthcare professional.","It's not clear what causes metastatic prostate cancer. This advanced form of prostate cancer happens when cancer cells break away from where they started in the prostate. The cancer cells can travel through the lymphatic system or the blood to other areas of the body. A metastatic prostate cancer also is a stage 4 prostate cancer.
Metastatic prostate cancer most often spreads to the:
Bones.
Lymph nodes.
Liver.
Lungs.
Rare places that metastatic prostate cancer spreads include:
Adrenal glands.
Brain.
Pancreas.","The risk factors that raise the risk of metastatic prostate cancer are the same for prostate cancer in general. Factors that can increase the risk of prostate cancer include:
Older age.The risk of prostate cancer goes up with age. It's most common after age 50.
Family history of prostate cancer.If a blood relative, such as a parent or sibling, has been diagnosed with prostate cancer, your risk may be increased. The risk also may be increased if other close relatives have had prostate cancer. This includes your grandparents and your parents' siblings.
Family history of DNA changes.Some DNA changes that increase the risk of cancer are passed from parents to children. The DNA changes called BRCA1 and BRCA2 can cause a higher risk of prostate cancer. These DNA changes are best known for increasing the risk of breast cancer and ovarian cancer.
Smoking tobacco.Some research shows a link between smoking and prostate cancer. But not all studies agree. People with prostate cancer who smoke may have a higher risk of the cancer coming back. People who smoke also have a higher risk of the cancer spreading beyond the prostate.","Some treatments for metastatic prostate cancer can cause thinning bones. This complication can cause bones to break more easily.
To help reduce the risk of thinning bones, your healthcare team might recommend that you:
Limit how much alcohol you drink.
Stop smoking if you smoke.
Take vitamin supplements, but don't do this without talking with your healthcare team. Your care team can tell you which vitamins to take and how much to take.
You might have bone density testing when you start treatment. The test might repeat every year or two to watch for signs of thinning bones. Sometimes medicines can help build up the bones that start to thin.",
1345,Metatarsalgia,"Symptoms of metatarsalgia can include:
in the ball of the foot. The ball is the part of the sole just behind the toes.
numbness or tingling in the toes.
having a pebble in the shoe of the affected foot.",Not all foot problems need medical care. Sometimes feet ache after a long day of standing or a hard workout. But it's best to act on foot pain that lasts more than a few days. Talk to your health care professional if you have a burning pain in the ball of your foot that doesn't improve after changing your shoes and your activities.,"Sometimes a single factor can lead to metatarsalgia. More often, several factors are involved, including:
Distance runners are at risk of metatarsalgia. This is mainly because the front of the foot takes in a lot of force when a person runs. But anyone who does a high-impact sport is at risk. This is especially true if shoes fit poorly or are worn down.
Wearing too-small shoes or high heels can cause feet and toes to change shape. A downward-curling toe, called a hammertoe, can cause metatarsalgia. So can swollen, painful bumps at the base of the big toes, called bunions.
Small breaks in the metatarsals or toe bones can be painful and change the way you put weight on your foot.
This noncancerous growth of fibrous tissue around a nerve usually occurs between the third and fourth metatarsal heads. It causes symptoms that are like those of metatarsalgia. The growth can stress the metatarsal.","Almost anyone can develop metatarsalgia, but you're at higher risk if you:
that involve running and jumping.
shoes that don't fit well or shoes with spikes, such as cleats.
or obese.
including hammertoe and hard, thickened areas called calluses on the bottom of the feet.
such as rheumatoid arthritis or gout.","Left untreated, metatarsalgia might lead to pain in other parts of the same foot or in the other foot. Limping because of the foot pain of metatarsalgia also can cause pain in other parts of the body, such as the low back or hip.",
1346,MRSA infection,"Staph skin infections, includingMRSA, generally start as swollen, painful red bumps that might look like pimples or spider bites. The affected area might be:
infections start out as small red bumps that can quickly turn into deep, painful abscesses.
These red bumps can quickly turn into deep, painful boils (abscesses) that require surgical draining. Sometimes the bacteria remain confined to the skin. But they can also burrow deep into the body, causing potentially life-threatening infections in bones, joints, surgical wounds, the bloodstream, heart valves and lungs.
Warm to the touch
Full of pus or other drainage
Accompanied by a fever","Keep an eye on minor skin problems — pimples, insect bites, cuts and scrapes — especially in children. If wounds appear infected or are accompanied by a fever, see your doctor.","According to the Centers for Disease Control and Prevention, around 5% of the population chronically carries the type of staph bacteria known asMRSA.
MRSAis the result of decades of often unnecessary antibiotic use. For years, antibiotics have been prescribed for colds, flu and other viral infections that don't respond to these drugs. Even when antibiotics are used appropriately, they contribute to the rise of drug-resistant bacteria because they don't destroy every germ they target. Bacteria live on an evolutionary fast track, so germs that survive treatment with one antibiotic soon learn to resist others.","can spread easily through cuts and scrapes and skin-to-skin contact.
outbreaks have occurred in military training camps, child care centers and jails.
People with HIV have a higher risk of developing infections.
People who use illicit injected drugs have a higher risk of infections.","MRSAinfections can resist the effects of many common antibiotics, so they're more difficult to treat. This can allow the infections to spread and sometimes become life-threatening.
MRSAinfections may affect your:
Bloodstream
Lungs
Heart
Bones
Joints","In the hospital, people who are infected or colonized withMRSAoften are placed in isolation as a measure to prevent the spread ofMRSA. Visitors and health care workers caring for people in isolation may need to wear protective garments.
Hospital rooms, surfaces and equipment, as well as laundry items, need to be properly disinfected and cleaned regularly.
Careful hand washing remains your best defense against germs. Scrub hands briskly for at least 20 seconds. Carry a small bottle of hand sanitizer containing at least 60% alcohol for times when you don't have access to soap and water.
Keep cuts and scrapes clean and covered with clean, dry bandages until they heal. The pus from infected sores may contain , and keeping wounds covered can help prevent the spread of the bacteria.
Avoid sharing personal items such as towels, sheets, razors, clothing and athletic equipment. spreads on infected objects as well as through direct contact.
Shower immediately after each game or practice. Use soap and water. Don't share towels.
If you have a cut or sore, wash towels and bed linens in a washing machine set to the hottest water setting (with added bleach, if possible) and dry them in a hot dryer. Wash gym and athletic clothes after each wearing."
1347,Myxofibrosarcoma,"A painless lump on an arm or leg.
A lump that grows slowly.",Make an appointment with a doctor or other healthcare professional if you have any symptoms that worry you.,"In cancer cells, the DNA changes give different instructions. The changes tell the cancer cells to grow and multiply quickly. Cancer cells can keep living when healthy cells would die. This causes too many cells. The cancer cells can form a lump that may grow into healthy body tissue.",,,
1348,Myasthenia gravis,"Muscle weakness caused by myasthenia gravis gets worse when the affected muscle is used. Because symptoms usually get better with rest, muscle weakness can come and go. However, the symptoms tend to progress over time. They usually reach their worst within a few years after the disease begins.
Myasthenia gravis may affect any of the muscles that you can control. Certain muscle groups are more commonly affected than others.","Talk to your health care provider if you have problems:
Breathing.
Seeing.
Swallowing.
Chewing.
Walking.
Using your arms or hands.
Holding up your head.",,,"Complications of myasthenia gravis are treatable, but some can be life-threatening.",
1349,Monoclonal gammopathy of undetermined significance (MGUS),"People with monoclonal gammopathy often don't have symptoms. Some people have a rash or nerve problems, such as numbness or tingling. A blood test for another condition might findMGUSby chance.",,,"Factors that increase your risk of developingMGUSinclude:
Age.The average age at diagnosis is 70 years.
Race.Africans and Black Americans are more likely to getMGUSthan white people are.
Family history.Having family members withMGUSmight increase the risk.","Each year, about 1% of people withMGUSget certain types of blood cancers or other serious diseases, such as:
Multiple myeloma.
Light chain amyloidosis.
Waldenstrom macroglobulinemia.
Lymphoma.
Other issues linked toMGUSinclude broken bones, blood clots, kidney problems, and damage to nerves outside of the brain and spinal cord, also known as peripheral neuropathy.",
1350,Microcephaly,"Head size is a measure of the distance around the top of the child's head (circumference). Using standardized growth charts, health care providers compare the measurement with other children's measurements in percentiles.
A child with more-severe microcephaly may also have a sloping forehead.",,"Microcephaly usually is the result of a problem with brain development, which can occur in the womb (congenital) or during infancy. Microcephaly may be genetic. Other causes may include:
Down syndrome and other conditions may result in microcephaly.
Any of these may affect fetal brain development during pregnancy.
Not getting enough nutrients during pregnancy may hurt fetal brain development.
Phenylketonuria (PKU) hampers the mother's ability to break down the amino acid phenylalanine and may affect brain development of the fetus during pregnancy.",,"Developmental delays, including speech and movement
Difficulties with coordination and balance
Dwarfism or short stature
Facial distortions
Hyperactivity
Intellectual delays
Seizures","Learning your child has microcephaly can raise questions about future pregnancies. Work with your health care provider to determine the cause of the microcephaly. If the cause is genetic, you may want to talk to a genetics counselor about the risk of microcephaly in future pregnancies."
1351,Microscopic colitis,"Symptoms of microscopic colitis include:
Watery diarrhea.
Belly pain, cramps or bloating.
Weight loss.
Nausea.
Not being able to control bowel movements, called fecal incontinence.
The body not having enough water, called dehydration.
The symptoms of microscopic colitis can come and go. At times, symptoms improve on their own.","If you have watery diarrhea that lasts more than a few days, contact your healthcare professional to diagnose and treat your condition.","It's not clear what causes the swelling and irritation, called inflammation, of the colon found in microscopic colitis. Researchers believe that the causes may include:
Medicinesthat can inflame the lining of the colon.
Bile acidnot absorbed as it should be that inflames the lining of the colon.
Autoimmune diseaselinked to microscopic colitis, such as rheumatoid arthritis, celiac disease or psoriasis. Autoimmune disease happens when the body's immune system attacks healthy tissues.","Risk factors for microscopic colitis include:
Age.Microscopic colitis is most common in people older than age 50.
Autoimmune disease.People with microscopic colitis sometimes also have an autoimmune disorder, such as celiac disease, thyroid disease, rheumatoid arthritis, type 1 diabetes or psoriasis.
Genetic link.Research suggests that there may be a link between microscopic colitis and a family history of irritable bowel syndrome.
Smoking.Recent research studies have shown a link between tobacco smoking and microscopic colitis, mostly in people ages 16 to 44.
Some research studies show a link between using certain medicines that may increase the risk of microscopic colitis. But not all studies agree.
Medicines that may be linked to the condition include:
Selective serotonin reuptake inhibitors (SSRIs) such as sertraline (Zoloft).
Acarbose.
Flutamide.
Ranitidine.
Carbamazepine (Carbatrol, Tegretol, others).
Clozapine (Clozaril, Versacloz).
Entacapone (Comtan).
Simvastatin (Flolipid, Zocor).",There are minimal complications for most people once microscopic colitis is successfully treated. The condition does not increase the risk of colon cancer.,
1352,Blood in urine (hematuria),"Blood in the urine can look pink, red or cola-colored. Red blood cells cause the urine to change color. It takes only a small amount of blood to turn urine red.
The bleeding often isn't painful. But if blood clots get passed in the urine, that can hurt.","See a health care provider whenever urine looks like it might have blood in it.
Red urine isn't always caused by red blood cells. Some medicines can cause urine to turn red, such as a medicine called phenazopyridine that eases urinary tract symptoms. Certain foods also can turn urine red, including beets and rhubarb.
It can be hard to tell whether a change of urine color is caused by blood. That's why it's always best to get a checkup.","This condition happens when the kidneys or other parts of the urinary tract let blood cells leak into urine. Different problems can cause this leaking to happen, including:
Urinary tract infections (UTIs).These happen when bacteria get into the tube through which urine leaves the body, called the urethra. Then the bacteria multiply in the bladder.UTIscan cause bleeding that makes urine look red, pink or brown. With aUTI, you also may have a strong urge to pee that lasts a long time. You may have pain and burning while peeing. Your urine may have a very strong smell too.
Kidney infection.This type ofUTIalso is called pyelonephritis.Kidney infections can happen when bacteria enter the kidneys from the bloodstream. Infections also can happen when bacteria move to the kidneys from a pair of tubes that connect the kidneys with the bladder, called the ureters. Kidney infections can cause the same urine-related symptoms that otherUTIscan. But they're more likely to cause a fever and pain in the back, side or groin.
A bladder or kidney stone.The minerals in urine can form crystals on the walls of the kidneys or bladder. Over time, the crystals can become small, hard stones.The stones are often painless. But they can hurt a lot if they cause a blockage or leave the body through urine. Bladder or kidney stones can cause blood in urine that can be seen with the naked eye as well as bleeding that can be seen only in the lab.
Kidney disease.Blood in urine that can be seen only in the lab is a common symptom of a kidney disease called glomerulonephritis. With this disease, the tiny filters in the kidneys that remove waste from blood become inflamed.Glomerulonephritis may be part of a condition that affects the whole body, such as diabetes. Or it can happen on its own.
Cancer.Blood in urine that can be seen with the naked eye may be a sign of advanced kidney, bladder or prostate cancer. These cancers might not cause symptoms sooner, when treatments could work better.
Inherited illnesses.A genetic condition that affects red blood cells, called sickle cell anemia, can cause blood in urine. The blood cells could be visible or too tiny to see. A condition that damages tiny blood vessels in the kidneys, called Alport syndrome, also can cause blood in the urine.
Kidney injury.A blow or other injury to the kidneys from an accident or contact sports can cause blood to show up in urine.
Often the cause of hematuria is unknown.","Almost anyone can have red blood cells in the urine. This includes children and teens. Some things that can raise the risk of blood in the urine include:
Age.Middle-aged and older men may be more likely to have hematuria due to an enlarged prostate gland. The risk of some cancers that can cause blood in urine also may rise after the age of 50.
Urinary tract infection.This is one of the top causes of blood that can be seen in children's urine.
Family history.The chances of having blood in the urine may go up if one or more family members have had kidney disease.
Certain medicines.Some pain relievers, blood thinners and antibiotics can raise the risk of blood in urine.",,
1353,Migraine,"Migraines, which affect children and teenagers as well as adults, can progress through four stages: prodrome, aura, attack and post-drome. Not everyone who has migraines goes through all stages.","Migraines are often undiagnosed and untreated. If you regularly have signs and symptoms of migraine, keep a record of your attacks and how you treated them. Then make an appointment with your health care provider to discuss your headaches.
Even if you have a history of headaches, see your health care provider if the pattern changes or your headaches suddenly feel different.
See your health care provider immediately or go to the emergency roomif you have any of the following signs and symptoms, which could indicate a more serious medical problem:
An abrupt, severe headache like a thunderclap.
Headache with fever, stiff neck, confusion, seizures, double vision, numbness or weakness in any part of the body, which could be a sign of a stroke.
Headache after a head injury.
New headache pain after age 50.","Though migraine causes aren't fully understood, genetics and environmental factors appear to play a role.
Changes in the brainstem and its interactions with the trigeminal nerve, a major pain pathway, might be involved. So might imbalances in brain chemicals — including serotonin, which helps regulate pain in your nervous system.
Researchers are studying the role of serotonin in migraines. Other neurotransmitters play a role in the pain of migraine, including calcitonin gene-related peptide (CGRP).","Several factors make you more prone to having migraines, including:
Family history.If you have a family member with migraines, then you have a good chance of developing them too.
Age.Migraines can begin at any age, though the first often occurs during adolescence. Migraines tend to peak during your 30s, and gradually become less severe and less frequent in the following decades.
Hormonal changes.For women who have migraines, headaches might begin just before or shortly after onset of menstruation. They might also change during pregnancy or menopause. Migraines generally improve after menopause.","Medication-overuse headaches occur when medications stop relieving pain and begin to cause headaches. You then use more pain medication, which continues the cycle.",
