Disease Name,Symptoms
Aphasia,"Aphasia is a symptom of some other condition, such as a stroke or a brain tumor.
A person with aphasia may:
People with aphasia may have different strengths and weaknesses in their speech patterns. Sometimes these patterns are labeled as different types of aphasia, including:
These patterns describe how well the person can understand what others say. They also describe how easy it is for the person to speak or to correctly repeat what someone else says.
Aphasia may develop slowly over time. When that happens, the aphasia may be labeled with one of these names:
Many people with aphasia have patterns of speech difficulty that don't match these types. It may help to consider that each person with aphasia has unique symptoms, strengths and weaknesses rather than trying to label a particular type of aphasia.
Speak in short or incomplete sentences
Speak in sentences that don't make sense
Substitute one word for another or one sound for another
Speak unrecognizable words
Have difficulty finding words
Not understand other people's conversation
Not understand what they read
Write sentences that don't make sense
Broca's aphasia
Wernicke aphasia
Transcortical aphasia
Conduction aphasia
Global aphasia
Logopenic aphasia
Semantic aphasia
Agrammatism"
Primary progressive aphasia,Primary progressive aphasia symptoms vary based on which part of the brain's language areas are involved. The condition has three types. Each type causes different symptoms. Symptoms develop over time and gradually get worse.
Canker sore,"Most canker sores are round or oval with a white or yellow center and a red border. They form inside your mouth — on or under your tongue, inside your cheeks or lips, at the base of your gums, or on your soft palate. You might notice a tingling or burning sensation a day or two before the sores actually appear.
There are several types of canker sores, including minor, major and herpetiform sores."
Canker sore,"Most canker sores are round or oval with a white or yellow center and a red border. They form inside your mouth — on or under your tongue, inside your cheeks or lips, at the base of your gums, or on your soft palate. You might notice a tingling or burning sensation a day or two before the sores actually appear.
There are several types of canker sores, including minor, major and herpetiform sores."
Broken heart syndrome,"Symptoms of broken heart syndrome can mimic those of a heart attack. Symptoms may include:
Chest pain.
Shortness of breath."
Aplastic anemia,"Aplastic anemia can have no symptoms. When present, symptoms can include:
Aplastic anemia can be short-lived, or it can become chronic. It can be serious and even fatal.
Bone marrow is a red, spongy material inside your bones that produces blood cells.
Fatigue.
Shortness of breath.
Rapid or irregular heart rate.
Frequent or prolonged infections.
Nosebleeds and bleeding gums.
Prolonged bleeding from cuts.
Pale skin.
Skin rash.
Fever."
Appendicitis,"Symptoms of appendicitis may include:
Sudden pain that begins on the right side of the lower belly.
Sudden pain that begins around the belly button and often shifts to the lower right belly.
Pain that worsens with coughing, walking or making other jarring movements.
Nausea and vomiting.
Loss of appetite.
Low-grade fever that may rise as the illness worsens.
Constipation or diarrhea.
Belly bloating.
Gas."
Antiphospholipid syndrome,"Signs and symptoms of antiphospholipid syndrome can include:
Less common signs and symptoms include:
Signs of a deep vein thrombosis (DVT) include pain, swelling and redness. These clots can travel to the lungs (pulmonary embolism).
A stroke can occur in a young person who has antiphospholipid syndrome but no known risk factors for cardiovascular diseases.
Similar to a stroke, a transient ischemic attack (TIA) usually lasts only a few minutes and causes no permanent damage.
Some people develop a red rash with a lacy, net-like pattern.
Chronic headaches, including migraines; dementia and seizures are possible when a blood clot blocks blood flow to parts of the brain.
Antiphospholipid syndrome can damage heart valves.
This decrease in blood cells needed for clotting can cause episodes of bleeding, particularly from the nose and gums. Bleeding into the skin will appear as patches of small red spots."
ARDS,"The seriousness of ARDS symptoms can vary depending on what's causing them and whether there is underlying heart or lung disease. Symptoms include:
Severe shortness of breath.
Labored and rapid breathing that is not usual.
Cough.
Chest discomfort.
Fast heart rate."
Viral hemorrhagic fevers,"Symptoms of viral hemorrhagic fevers vary by disease. Mainly, early symptoms can include:
Fever.
Tiredness, weakness or feeling unwell.
Muscle, bone or joint aches.
Nausea and vomiting.
Diarrhea."
Viral hemorrhagic fevers,"Symptoms of viral hemorrhagic fevers vary by disease. Mainly, early symptoms can include:
Fever.
Tiredness, weakness or feeling unwell.
Muscle, bone or joint aches.
Nausea and vomiting.
Diarrhea."
Broken arm,"A snap or cracking sound might be your first indication you've broken an arm. Signs and symptoms include:
Severe pain, which might increase with movement
Swelling
Bruising
Deformity, such as a bent arm or wrist
Inability to turn your arm from palm up to palm down or vice versa"
Chiari malformation,"Many people with Chiari malformation have no symptoms and don't need treatment. They learn they have Chiari malformation only when tests are performed for unrelated conditions. But some types of Chiari malfunction can cause symptoms.
The more common types of Chiari malformation are:
Type 1
Type 2
These types are less serious than the rarer pediatric form, type 3. But symptoms still can disrupt life."
Heart arrhythmia,"A heart arrhythmia may not cause any symptoms. The irregular heartbeat may be noticed during a health checkup for another reason.
Symptoms of an arrhythmia may include:
A fluttering, pounding or racing feeling in the chest.
A fast heartbeat.
A slow heartbeat.
Chest pain.
Shortness of breath.
Other symptoms may include:
Feeling very tired.
Lightheadedness or dizziness.
Sweating.
Fainting or almost fainting."
Arteriosclerosis / atherosclerosis,"Mild atherosclerosis usually doesn't cause symptoms.
Atherosclerosis symptoms usually don't happen until an artery is so narrowed or clogged that it can't send enough blood to organs and tissues. Sometimes a blood clot completely blocks blood flow. The clot may break apart. If this happens, it may cause a heart attack or stroke.
In the arteries leading to your brain,you may have sudden numbness or weakness in your arms or legs, trouble speaking, slurred speech, sudden or temporary loss of vision in one eye, or drooping muscles in your face. These are symptoms of a transient ischemic attack (TIA). Untreated, a TIA can lead to a stroke."
Arteriovenous fistula,"Small arteriovenous fistulas in the legs, arms, lungs, kidneys or brain often won't have any signs or symptoms. Small arteriovenous fistulas usually don't need treatment other than monitoring by a health care provider. Large arteriovenous fistulas may cause signs and symptoms.
Arteriovenous fistula signs and symptoms may include:
A significant arteriovenous fistula in the lungs (pulmonary arteriovenous fistula) is a serious condition and can cause:
An arteriovenous fistula in the digestive tract can cause gastrointestinal (GI) bleeding.
Purplish, bulging veins seen through the skin, similar to varicose veins
Swelling in the arms or legs
Fatigue
Heart failure
Pale gray or blue lips or fingernails due to lack of blood flow (cyanosis)
Fingertips to spread out and become rounder than normal (clubbing)
Coughing up blood"
Arteriovenous malformation,"Symptoms of an arteriovenous malformation, also known as an AVM, can vary. Sometimes anAVMdoesn't cause symptoms. TheAVMcan be found while getting images for another health concern.
Often the first symptoms appear after bleeding occurs. Besides bleeding, symptoms can include:
Trouble with thinking that gets worse over time.
Headaches.
Nausea and vomiting.
Seizures.
Loss of consciousness.
Other possible symptoms include:
Weak muscles, such as weakness in the legs.
Loss of movement and feeling in one part of the body, known as paralysis.
Loss of coordination that can cause trouble with walking.
Trouble doing tasks that require planning.
Back pain.
Dizziness.
Vision problems. This may include losing part of the field of vision, trouble moving the eyes or swelling of part of the optic nerve.
Trouble with speech or understanding language.
Numbness, tingling or sudden pain.
Memory loss or dementia.
Seeing or hearing things that aren't there, known as hallucinations.
Confusion.
Children and teens might have trouble with learning or behavior.
One type ofAVMcalled a vein of Galen malformation causes symptoms that appear at or shortly after birth. A vein of Galen malformation occurs deep inside the brain. Signs can include:
A buildup of fluid in the brain that causes the head to be larger than usual.
Swollen veins on the scalp.
Seizures.
Failure to thrive.
Congestive heart failure."
Giant cell arteritis,"The most common symptoms of giant cell arteritis are head pain and tenderness — often severe — that usually affects both temples. Head pain can progressively worsen, come and go, or subside temporarily.
Generally, signs and symptoms of giant cell arteritis include:
Persistent, severe head pain, usually in your temple area
Scalp tenderness
Jaw pain when you chew or open your mouth wide
Fever
Fatigue
Unintended weight loss
Vision loss or double vision, particularly in people who also have jaw pain
Sudden, permanent loss of vision in one eye
Pain and stiffness in the neck, shoulders or hips are common symptoms of a related disorder, polymyalgia rheumatica. About 50 percent of people with giant cell arteritis also have polymyalgia rheumatica."
Takayasu's arteritis,"The signs and symptoms of Takayasu's arteritis often occur in two stages.
In the first stage, you're likely to feel unwell with:
Not everyone has these early signs and symptoms. It's possible for inflammation to damage arteries for years before you realize something is wrong.
Fatigue
Unintended weight loss
Muscle and joint aches and pains
Mild fever, sometimes accompanied by night sweats
Weakness or pain in your limbs with use
Lightheadedness, dizziness or fainting
Headaches or visual changes
Memory problems or trouble thinking
Chest pain or shortness of breath
Diarrhea or blood in your stool
Too few red blood cells (anemia)"
Arthritis,"The most common signs and symptoms of arthritis involve the joints. Depending on the type of arthritis, signs and symptoms may include:
Pain
Stiffness
Swelling
Redness
Decreased range of motion"
Thumb arthritis,"Pain is the first and most common symptom of thumb arthritis. Pain can occur at the base of your thumb when you grip, grasp or pinch an object, or use your thumb to apply force.
Other signs and symptoms might include:
Swelling, stiffness and tenderness at the base of your thumb
Decreased strength when pinching or grasping objects
Decreased range of motion
Enlarged or bony appearance of the joint at the base of your thumb"
Osteoarthritis,"Osteoarthritis symptoms often develop slowly and worsen over time. Symptoms of osteoarthritis include:
In osteoarthritis of the spine, disks narrow and bone spurs form.
The hip joint on the right side of the image shows bone spurs and worn cartilage caused by osteoarthritis.
Affected joints might hurt during or after movement.
Joint stiffness might be most noticeable upon awakening or after being inactive.
You might not be able to move your joint through its full range of motion.
You might feel a grating sensation when you use the joint, and you might hear popping or crackling.
This might be caused by soft tissue inflammation around the joint."
Gout,"The signs and symptoms of gout almost always occur suddenly, and often at night. They include:
Intense joint pain.Gout usually affects the big toe, but it can occur in any joint. Other commonly affected joints include the ankles, knees, elbows, wrists and fingers. The pain is likely to be most severe within the first four to 12 hours after it begins.
Lingering discomfort.After the most severe pain subsides, some joint discomfort may last from a few days to a few weeks. Later attacks are likely to last longer and affect more joints.
Inflammation and redness.The affected joint or joints become swollen, tender, warm and red.
Limited range of motion.As gout progresses, you may not be able to move your joints normally."
Septic arthritis,
Juvenile idiopathic arthritis,"The most common signs and symptoms of juvenile idiopathic arthritis are:
Pain.While your child might not complain of joint pain, you may notice that he or she limps — especially first thing in the morning or after a nap.
Swelling.Joint swelling is common but is often first noticed in larger joints such as the knee.
Stiffness.You might notice that your child appears clumsier than usual, particularly in the morning or after naps.
Fever, swollen lymph nodes and rash.In some cases, high fever, swollen lymph nodes or a rash on the trunk may occur — which is usually worse in the evenings.
Juvenile idiopathic arthritis can affect one joint or many. There are several different subtypes of juvenile idiopathic arthritis, but the main ones are systemic, oligoarticular and polyarticular. Which type your child has depends on symptoms, the number of joints affected, and if a fever and rashes are prominent features.
Like other forms of arthritis, juvenile idiopathic arthritis is characterized by times when symptoms flare up and times when symptoms may be minimal."
Osteoarthritis,"Osteoarthritis symptoms often develop slowly and worsen over time. Symptoms of osteoarthritis include:
In osteoarthritis of the spine, disks narrow and bone spurs form.
The hip joint on the right side of the image shows bone spurs and worn cartilage caused by osteoarthritis.
Affected joints might hurt during or after movement.
Joint stiffness might be most noticeable upon awakening or after being inactive.
You might not be able to move your joint through its full range of motion.
You might feel a grating sensation when you use the joint, and you might hear popping or crackling.
This might be caused by soft tissue inflammation around the joint."
Psoriatic arthritis,"Both psoriatic arthritis and psoriasis are chronic diseases that worsen over time. However, you might have periods when your symptoms improve or go away temporarily.
Psoriatic arthritis can affect joints on one or both sides of your body. The signs and symptoms of psoriatic arthritis often resemble those of rheumatoid arthritis. Both diseases cause joints to become painful, swollen and warm to the touch.
However, psoriatic arthritis is more likely to also cause:
Psoriatic arthritis can cause a painful, sausage-like swelling of your fingers and toes.
Psoriatic arthritis can also cause pain at the points where tendons and ligaments attach to your bones — especially at the back of your heel (Achilles tendinitis) or in the sole of your foot (plantar fasciitis).
Some people develop a condition called spondylitis as a result of psoriatic arthritis. Spondylitis mainly causes inflammation of the joints between the vertebrae of your spine and in the joints between your spine and pelvis (sacroiliitis).
Nails can form tiny dents (pits), crumble or separate from the nail beds.
Uveitis can cause eye pain, redness and blurry vision. If untreated, uveitis can lead to vision loss."
Reactive arthritis,"Inflammation often affects these sites in people with reactive arthritis.
The joint pain associated with reactive arthritis most commonly occurs in the knees, ankles and feet. Pain may also occur in the heels, low back or buttocks.
Many people who have reactive arthritis also develop eye inflammation (conjunctivitis).
This happens most often in the heels and the sole of the feet.
In some cases, toes or fingers might become so swollen that they look like sausages.
Reactive arthritis can affect skin in a variety of ways, including mouth sores and a rash on the soles of the feet and palms of the hands.
The pain tends to be worse at night or in the morning."
Rheumatoid arthritis,"Symptoms of rheumatoid arthritis may include:
Painful, warm, swollen joints.
Joint stiffness that most often is worse in the mornings and after periods of rest. It can last for 45 minutes or longer.
Tiredness, fever and not wanting to eat.
Rheumatoid arthritis may affect just a few joints at first. Most often, these are the small joints of the hands and the feet.
As the disease gets worse, symptoms may spread to more joints. These most often include the wrists, elbows, hips, knees and ankles. Most of the time, symptoms affect the same joints on both sides of the body.
Many people who have rheumatoid arthritis also have symptoms that affect more than the joints. Areas that may be affected include:
Skin.
Eyes.
Lungs.
Heart.
Nerve tissue.
Blood.
Rheumatoid arthritis symptoms may vary in how bad they are. They may come and go. Periods when the condition becomes more active, called flares, follow periods of less or no swelling and pain. This is called remission.
Over time, rheumatoid arthritis can cause joints to bend out of shape and shift out of place. The joints can be hard to use for daily activities at home or at work."
Septic arthritis,
Thumb arthritis,"Pain is the first and most common symptom of thumb arthritis. Pain can occur at the base of your thumb when you grip, grasp or pinch an object, or use your thumb to apply force.
Other signs and symptoms might include:
Swelling, stiffness and tenderness at the base of your thumb
Decreased strength when pinching or grasping objects
Decreased range of motion
Enlarged or bony appearance of the joint at the base of your thumb"
Asbestosis,"Clubbing of the fingers, in which the fingertips spread out and become rounder than usual, is often linked to heart or lung conditions.
Asbestosis signs and symptoms may include:
Shortness of breath
A persistent, dry cough
Chest tightness or pain
Dry and crackling sounds in your lungs when you inhale
Fingertips and toes that appear wider and rounder than usual (clubbing)"
Ascariasis,"Most people infected with ascariasis have no signs or symptoms. Moderate to heavy infestations cause various signs or symptoms, depending on which part of your body is affected.
After spending 10 to 14 days in the lungs, the larvae travel to the throat, where you cough them up and then swallow them.
The larvae mature into adult worms in the small intestine, and the adult worms typically live in the intestines until they die. In mild or moderate ascariasis, the intestinal infestation can cause:
If you have a large number of worms in the intestine, you might have:
Persistent cough
Shortness of breath
Wheezing
Vague abdominal pain
Nausea and vomiting
Diarrhea or bloody stools
Severe abdominal pain
Fatigue
Vomiting
Weight loss or malnutrition
A worm in your vomit or stool"
Atrial septal defect (ASD),"A baby born with an atrial septal defect (ASD) may not have symptoms. Symptoms may begin in adulthood.
Atrial septal defect symptoms may include:
Tiredness, especially with activity.
Swelling of the legs, feet or belly area.
Irregular heartbeats, also called arrhythmias.
Skipped heartbeats or feelings of a quick, pounding or fluttering heartbeat, called palpitations."
Autism spectrum disorder,"Some people in the mild range on the autism spectrum may have more symptoms that aren't noticed early on. They may not be diagnosed until middle to late childhood, when there is a greater need to communicate and be social. Sometimes a diagnosis is made for the first time in adulthood, though symptoms were likely present during childhood.
Each child with autism spectrum disorder is likely to have a unique pattern of behavior that depends on whether symptoms are mild, moderate or severe.
Some children with autism spectrum disorder have trouble learning, and some have signs of lower than usual intelligence. Other children with the condition have usual to high intelligence. These children learn quickly but have trouble communicating, applying what they know in everyday life and adjusting to social situations.
Below are some common signs shown by people who have autism spectrum disorder."
Avascular necrosis (osteonecrosis),"Some people have no symptoms in the early stages of avascular necrosis. As the condition worsens, affected joints might hurt only when putting weight on them. Eventually, you might feel the pain even when you're lying down.
Pain can be mild or severe. It usually develops gradually. Pain associated with avascular necrosis of the hip might center on the groin, thigh or buttock. Besides the hip, the shoulder, knee, hand and foot can be affected.
Some people develop avascular necrosis on both sides, such as in both hips or in both knees."
Aspergillosis,"The signs and symptoms of aspergillosis vary with the type of illness you develop:
Some people with asthma or cystic fibrosis have an allergic reaction to aspergillus mold. Signs and symptoms of this condition, known as allergic bronchopulmonary aspergillosis, include:
Certain chronic lung (pulmonary) conditions, such as emphysema, tuberculosis or advanced sarcoidosis, can cause air spaces (cavities) to form in the lungs. When people with lung cavities are also infected with aspergillus, fungus fibers may find their way into the cavities and grow into tangled masses (fungus balls) known as aspergillomas.
Aspergillomas may produce no symptoms or cause only a mild cough at first. Over time and without treatment, however, aspergillomas can worsen the underlying chronic lung condition and possibly cause:
This is the most severe form of aspergillosis. It occurs when the infection spreads rapidly from the lungs to the brain, heart, kidneys or skin. Invasive aspergillosis occurs only in people whose immune systems are weakened as a result of cancer chemotherapy, bone marrow transplantation or a disease of the immune system. Untreated, this form of aspergillosis may be fatal.
Signs and symptoms depend on which organs are affected, but in general, invasive aspergillosis can cause:
Aspergillus can invade areas of your body other than your lungs, such as your sinuses. In your sinuses, the fungus can cause a stuffy nose sometimes accompanied by drainage that may contain blood. Fever, facial pain and headache may also occur.
Fever
A cough that may bring up blood or plugs of mucus
Worsening asthma
A cough that often brings up blood (hemoptysis)
Wheezing
Shortness of breath
Unintentional weight loss
Fatigue
Fever and chills
A cough that brings up blood (hemoptysis)
Shortness of breath
Chest or joint pain
Headaches or eye symptoms
Skin lesions"
Asthma,"Asthma signs and symptoms include:
Shortness of breath
Chest tightness or pain
Trouble sleeping caused by shortness of breath, coughing or wheezing
Coughing or wheezing attacks that are worsened by a respiratory virus, such as a cold or the flu
Signs that your asthma is probably worsening include:
Asthma signs and symptoms that are more frequent and bothersome
Increasing difficulty breathing, as measured with a device used to check how well your lungs are working (peak flow meter)
The need to use a quick-relief inhaler more often
For some people, asthma signs and symptoms flare up in certain situations:
Occupational asthma,triggered by workplace irritants such as chemical fumes, gases or dust
Allergy-induced asthma,triggered by airborne substances, such as pollen, mold spores, cockroach waste, or particles of skin and dried saliva shed by pets (pet dander)"
Asthma attack,"Symptoms of asthma attacks may include:
Shortness of breath.
Chest tightness or pain.
Coughing.
Wheezing.
Severe symptoms also may include:
Gasping for breath.
Difficulty speaking because of shortness of breath.
Straining of chest muscles to breathe.
Worse symptoms when lying on the back.
Severe sweating.
The result of an at-home test, called a peak flow meter, can be an important sign of an asthma attack. This device measures how quickly you can force air out of your lungs. Peak flow readings are usually a percentage of how your lungs work at their best. This is called your personal best peak flow.
An asthma action plan often includes steps to take based on a peak flow reading. A reading below 80% of a best peak flow can be a sign of an asthma attack."
Childhood asthma,"Common childhood asthma symptoms include:
Childhood asthma also might cause:
Asthma symptoms vary from child to child and might get worse or better over time. Your child might have only one symptom, such as a lingering cough or chest congestion.
It can be difficult to tell whether your child's symptoms are caused by asthma. Wheezing and other asthma-like symptoms can be caused by infectious bronchitis or another respiratory problem.
A whistling or wheezing sound when breathing out.
Shortness of breath.
Chest congestion or tightness.
Frequent coughing that worsens when your child:
Has a viral infection.
Is sleeping.
Is in the cold air.
Has a viral infection.
Is sleeping.
Is in the cold air.
Trouble sleeping due to shortness of breath, coughing or wheezing.
Bouts of coughing or wheezing that get worse with a cold or the flu.
Delayed recovery or bronchitis after a respiratory infection.
Fatigue, which can be due to poor sleep."
Exercise-induced asthma,"Coughing.
Wheezing.
Shortness of breath.
Chest tightness or pain.
Avoiding activity, which happens mostly in young children."
Occupational asthma,"Occupational asthma symptoms may include:
Wheezing.
Coughing.
Shortness of breath.
Chest tightness.
Other possible symptoms may include:
Runny nose.
Stuffy nose.
Itchy or watery eyes.
Improve or go away on days off or during vacations and then return when you go to work.
May begin early in the day and fail to improve on days off as disease progresses.
May become permanent even after long periods away from work."
Astigmatism,"Signs and symptoms of astigmatism may include:
Blurred or distorted vision
Eyestrain or discomfort
Headaches
Difficulty with night vision
Squinting"
Astrocytoma,"Astrocytoma signs and symptoms may vary based on where the tumor starts. This tumor can happen in the brain or in the spinal cord.
Symptoms of astrocytomas in the brain include:
Seizures, which might cause loss of consciousness or changes in behavior, such as staring off into space.
Headaches.
Nausea and vomiting.
Personality changes.
Problems speaking.
Feeling very tired or weak.
Symptoms of astrocytomas in the spinal cord include:
Pain in the affected area.
Pain that worsens at night.
Weakness in the arms or legs that gets worse over time.
Trouble walking."
Atrial tachycardia,"The main symptom of atrial tachycardia is a very fast heartbeat. Typically during atrial tachycardia, the heart beats 150 to 200 times a minute. The fast heartbeat may come and go suddenly, or it can be ongoing.
Other symptoms of atrial tachycardia may include:
Pounding or fluttering feelings in the chest or neck, called palpitations.
Chest pain.
Fainting or almost fainting.
Lightheadedness or dizziness.
Shortness of breath.
Sweating.
Nausea.
Some people with atrial tachycardia do not notice symptoms.
Atrial tachycardia symptoms may be hard to see in infants and young children. Symptoms of atrial tachycardia in children can include:
Poor feeding.
Sweating.
Irritability.
Changes in skin color.
If your infant or young child has any of these symptoms, talk with a healthcare professional."
Ataxia,"Poor coordination.
Walking unsteadily or with the feet set wide apart.
Poor balance.
Trouble with fine motor tasks such as eating, writing or buttoning a shirt.
Changes in speech.
Back-and-forth eye movements that can't be controlled.
Trouble swallowing."
Atelectasis,"There may be no clear signs of atelectasis. If you have any signs, they may include:
Having a hard time breathing.
Rapid, weak breathing.
Wheezing.
Coughing."
Arteriosclerosis / atherosclerosis,"Mild atherosclerosis usually doesn't cause symptoms.
Atherosclerosis symptoms usually don't happen until an artery is so narrowed or clogged that it can't send enough blood to organs and tissues. Sometimes a blood clot completely blocks blood flow. The clot may break apart. If this happens, it may cause a heart attack or stroke.
In the arteries leading to your brain,you may have sudden numbness or weakness in your arms or legs, trouble speaking, slurred speech, sudden or temporary loss of vision in one eye, or drooping muscles in your face. These are symptoms of a transient ischemic attack (TIA). Untreated, a TIA can lead to a stroke."
Athlete's foot,"Athlete's foot can affect one or both feet. Common signs and symptoms are:
Scaly, peeling or cracked skin between the toes
Itchiness, especially right after taking off shoes and socks
Inflamed skin that might appear reddish, purplish or grayish, depending on your skin color
Burning or stinging
Blisters"
Atopic dermatitis (eczema),"Atopic dermatitis (eczema) symptoms can appear anywhere on the body and vary widely from person to person. They may include:
Dry, cracked skin
Itchiness (pruritus)
Rash on swollen skin that varies in color depending on your skin color
Small, raised bumps, on brown or Black skin
Oozing and crusting
Thickened skin
Darkening of the skin around the eyes
Raw, sensitive skin from scratching
Atopic dermatitis often begins before age 5 and may continue into the teen and adult years. For some people, it flares and then clears up for a time, even for several years."
Atrial fibrillation,"Symptoms ofAFibmay include:
Feelings of a fast, fluttering or pounding heartbeat, called palpitations.
Chest pain.
Dizziness.
Fatigue.
Lightheadedness.
Shortness of breath.
Weakness.
Some people with atrial fibrillation (AFib) don't notice any symptoms.
Atrial fibrillation may be:
Persistent.The irregular heartbeat is constant. The heart rhythm does not reset on its own. If symptoms occur, medical treatment is needed to correct the heart rhythm.
Long-standing persistent.This type ofAFibis constant and lasts longer than 12 months. Medicines or a procedure are needed to correct the irregular heartbeat.
Permanent.In this type of atrial fibrillation, the irregular heart rhythm can't be reset. Medicines are needed to control the heart rate and to prevent blood clots."
Atrial flutter,"People with atrial flutter may not have symptoms. The irregular heartbeat may be found during a health checkup for another reason.
If atrial flutter symptoms happen, they may include:
A pounding or racing feeling in the chest.
Chest pain.
Fainting or almost fainting.
Shortness of breath.
Feeling very tired."
Atrial septal defect (ASD),"A baby born with an atrial septal defect (ASD) may not have symptoms. Symptoms may begin in adulthood.
Atrial septal defect symptoms may include:
Tiredness, especially with activity.
Swelling of the legs, feet or belly area.
Irregular heartbeats, also called arrhythmias.
Skipped heartbeats or feelings of a quick, pounding or fluttering heartbeat, called palpitations."
Atrial tachycardia,"The main symptom of atrial tachycardia is a very fast heartbeat. Typically during atrial tachycardia, the heart beats 150 to 200 times a minute. The fast heartbeat may come and go suddenly, or it can be ongoing.
Other symptoms of atrial tachycardia may include:
Pounding or fluttering feelings in the chest or neck, called palpitations.
Chest pain.
Fainting or almost fainting.
Lightheadedness or dizziness.
Shortness of breath.
Sweating.
Nausea.
Some people with atrial tachycardia do not notice symptoms.
Atrial tachycardia symptoms may be hard to see in infants and young children. Symptoms of atrial tachycardia in children can include:
Poor feeding.
Sweating.
Irritability.
Changes in skin color.
If your infant or young child has any of these symptoms, talk with a healthcare professional."
Atrioventricular canal defect,"The condition affects all of the heart's chambers. Symptoms of a complete atrioventricular canal defect usually develop in the first weeks of life. Symptoms are generally similar to those of heart failure. They may include:
Difficulty breathing or rapid breathing
Fatigue
Irregular or rapid heartbeat
Lack of appetite
Poor weight gain
Swelling in the legs, ankles and feet
Wheezing
Fatigue and weakness
Nausea and lack of appetite
Persistent cough or wheezing
Rapid or irregular heartbeat, also called an arrhythmia
Shortness of breath
Swelling in the legs, ankles and feet"
Atrioventricular nodal reentry tachycardia (AVNRT),"A very fast heartbeat is the most common symptom of atrioventricular nodal reentry tachycardia (AVNRT). In AVNRT, the heart can beat between 120 to 280 times a minute. The fast heartbeat usually starts suddenly.
AVNRT does not always cause symptoms. When symptoms do show up, they may include:
A pounding feeling in the neck.
Pounding or fluttering heartbeat, called palpitations.
Dizziness or lightheadedness.
Shortness of breath.
Sweating.
Fainting or almost fainting.
Symptoms of AVNRT may be mild in children. Some symptoms include sweating, trouble feeding, changes in skin color and a fast heartbeat."
Atrioventricular canal defect,"The condition affects all of the heart's chambers. Symptoms of a complete atrioventricular canal defect usually develop in the first weeks of life. Symptoms are generally similar to those of heart failure. They may include:
Difficulty breathing or rapid breathing
Fatigue
Irregular or rapid heartbeat
Lack of appetite
Poor weight gain
Swelling in the legs, ankles and feet
Wheezing
Fatigue and weakness
Nausea and lack of appetite
Persistent cough or wheezing
Rapid or irregular heartbeat, also called an arrhythmia
Shortness of breath
Swelling in the legs, ankles and feet"
Vaginal atrophy,"Genitourinary syndrome of menopause (GSM) signs and symptoms may include:
Vaginal dryness
Vaginal burning
Vaginal discharge
Genital itching
Burning with urination
Urgency with urination
Frequent urination
Recurrent urinary tract infections
Urinary incontinence
Light bleeding after intercourse
Discomfort with intercourse
Shortening and tightening of the vaginal canal"
Reactive attachment disorder,"Reactive attachment disorder usually starts in infancy. There's little research on signs and symptoms of reactive attachment disorder beyond early childhood, and it remains uncertain whether it occurs in children older than 5 years.
Signs and symptoms may include:
Sad and listless appearance
Not seeking comfort or showing no response when comfort is given
Failure to smile
Watching others closely but not engaging in social interaction
Failure to reach out when picked up
No interest in playing peekaboo or other interactive games
Behavior problems
Failing to seek support or assistance"
Attention-deficit/hyperactivity disorder (ADHD) in children,"The main features of ADHD include not paying attention and being hyperactive and impulsive. ADHD symptoms usually start before age 12. In some children, they can be seen as early as 3 years of age. ADHD symptoms can be mild, moderate or severe. Symptoms need to be seen in two or more settings, such as at home and at school. The symptoms cause problems with development and daily life and may continue into adulthood.
There are three types of ADHD:
Predominately inattentive.In this type, most symptoms fall under inattention. This means having trouble focusing and staying on a task. It also includes trouble getting and staying organized.
Predominately hyperactive and impulsive.In this type, most symptoms involve being hyperactive and impulsive. Hyperactive means being too active and having too much energy. It may include disruptive behavior. Being impulsive means acting without thinking ahead about the results or effects of behavior."
Adult attention-deficit/hyperactivity disorder (ADHD),"Some people withADHDhave fewer symptoms as they age, but some adults continue to have major symptoms that interfere with daily functioning. In adults, the main features ofADHDmay include difficulty paying attention, impulsiveness and restlessness. Symptoms can range from mild to severe.
Many adults withADHDaren't aware they have it — they just know that everyday tasks can be a challenge. Adults withADHDmay find it difficult to focus and prioritize, leading to missed deadlines and forgotten meetings or social plans. The inability to control impulses can range from impatience waiting in line or driving in traffic to mood swings and outbursts of anger.
AdultADHDsymptoms may include:
Impulsiveness
Disorganization and problems prioritizing
Poor time management skills
Problems focusing on a task
Trouble multitasking
Poor planning
Low frustration tolerance
Frequent mood swings
Problems following through and completing tasks
Hot temper
Trouble coping with stress"
Atypical genitalia,"Your medical team will likely be the first to notice atypical genitalia soon after your baby is born. Sometimes, atypical genitalia may be suspected before birth. Atypical genitalia can vary in appearance. Differences may depend on when during genital development the hormone changes that affected development occurred and the cause.
An enlarged clitoris, which may look like a penis.
Closed labia, or labia that include folds and look like a scrotum.
Lumps that feel like testicles in the fused labia.
A very small penis with the urethral opening closer to the scrotum.
One or both testicles missing in what appears to be the scrotum.
Testicles that remain in the body, also called undescended testicles, and an empty scrotum that has the appearance of labia with or without a micropenis."
Atypical hyperplasia of the breast,"Atypical hyperplasia of the breast usually doesn't cause any symptoms.
Atypical hyperplasia of the breast is typically found during a breast biopsy. A breast biopsy is a procedure to remove some breast cells for testing. It's often recommended if something concerning is found on a mammogram or an ultrasound. A biopsy also might be done to investigate a breast concern, such as a lump."
